line,member
I know gochyeo sseul gachido eoptan geol,Nayeon
hajiman geunyeowa dalli nan neol,Nayeon
shwipge nwajul mami eopgeodeun,Nayeon
Never let go,Chaeyoung
You don’t know me,Mina
L O V E or hatred,Mina
ibyeol daeshin nan sunjinhan misoman,Mina
oneuldo ne pume angillae,Mina
amugeotto moreuneun cheok,Dahyun
Baby no more real love,Momo
neoye gyeote isseojulge,Dahyun
majimaken break your heart,Momo
Bad boy bad boy,Jeongyeon
yeah you really make me,Jeongyeon
a mad girl mad girl,Jeongyeon
"I want you to cry, cry for me",Jihyo
naega ureotteon geotcheoreom Cry for me,Jihyo
Make your rain fall,Jihyo
Cry for me but,Jihyo
Again,Jihyo
jogeumsshik jogeumsshik tto ppajyeoga,Nayeon
sarange nae gyeolshimi tto muneojyeoga,Nayeon
yongseohal pinggyereul mandeureoga,Nayeon
I want you to,Tzuyu
I want you to,Tzuyu
I want you to,Tzuyu
Cry for me,Tzuyu
I don’t know neoran nom miweojil jul moreugo,Sana
chingudeulhanten tto neoreul gamssajuneun jung,Sana
baboga dwae beoryeossgun,Sana
neo wae jakku nareul bomyeo unneunde,Chaeyoung
ttak han beone nunmurimyeon dweneunde,Chaeyoung
"Cry for me, let me please forgive you",Dahyun
amugeotto moreuneun cheok,Momo
Baby just like real love,Dahyun
real love,Nayeon
majimak gihweya eoseo,Momo
Na,Nayeon
Da,Dahyun
Bad boy bad boy,Jihyo
yeah you really make me,Jihyo
Na,Nayeon
Ji,Jihyo
whoa,Jihyo
"I want you to cry, cry for me",Jeongyeon
me,Nayeon
naega ureotteon geotcheoreom Cry for me,Jeongyeon
Make your rain fall,Jeongyeon
Cry for me,Jeongyeon
"me, yeah",Mina
but,Jeongyeon
Again,Jeongyeon
jogeumsshik jogeumsshik tto ppajyeoga,Nayeon
sarange nae gyeolshimi tto muneojyeoga,Nayeon
yongseohal pinggyereul mandeureoga,Nayeon
I want you to,Sana
I want you to,Sana
I want you to,Sana
Cry for me,Sana
sarangiran ge neomu dogae,Mina
miun maeumdo da nogabeorige hae,Mina
tto dashi weonhae neol nae gyeote yeah yeah,Tzuyu
"I want you to cry, cry for me",Nayeon
neo yeongirado hae ppalli Cry for me,Nayeon
Make your rain fall,Nayeon
fall and fall now,Nayeon
"I want you to cry, cry for me",Jeongyeon
me,Nayeon
Na,Nayeon
Jeong,Jeongyeon
naega ureotteon geotcheoreom ,Jeongyeon
Make your rain fall,Jeongyeon
Cry for me,Jeongyeon
me,Nayeon
 but,Jeongyeon
Again,Jeongyeon
jogeumsshik jogeumsshik tto ppajyeoga,Jihyo
sarange nae gyeolshimi tto muneojyeoga,Jihyo
yongseohal pinggyereul mandeureoga,Jihyo
I want you to,Chaeyoung
I want you to,Chaeyoung
I want you to,Chaeyoung
Die for me,Chaeyoung
