line,member
Lalalalalalala lalalalalalala,Mina
Lalalalalalala lalalalalalala,Mina
You and me in the moonlight,Nayeon
byeol kkot chukje yeollin bam,Nayeon
pado sorireul teulgo,Sana
chumeul chuneun i sungan,Sana
i neukkim jeongmal ttagya,Sana
badaya uriwa gachi nora,Momo
barama neodo ijjogeuro wa,Momo
dalppit jomyeong araeseo,Jeongyeon
neowa nawa sesanggwa,Jeongyeon
da gachi Party all night long,Jeongyeon
"Yeah, it’s good",Jeongyeon
If you wanna have some fun,Tzuyu
jjapjjalhan gonggicheoreom,Tzuyu
i sungane teukbyeolhan,Tzuyu
haengbogeul notchiji ma,Tzuyu
"One, two, three, let’s go",Mina
jeo uju wiro,Mina
naragal deut chumchureo ga Hey,Mina
Let’s dance the night away,Mina
Let’s dance the night away,Chaeyoung
"One, two, three, let’s go",Jihyo
jeo bada geonneo deullil deut sori jilleo,Jihyo
Let’s dance the night away,Jihyo
Dance the night away,Dahyun
Let’s dance the night away,Dahyun
Dance the night away,Chaeyoung
Let’s dance the night away,Chaeyoung
You and me in this cool night,Sana
miso jinneun banjjok dal,Sana
geu eonjenga neowa na,Tzuyu
jeo dal dwinmyeoneuro ga,Tzuyu
patireul yeolgiro yaksok,Tzuyu
"Yeah, it’s good",Tzuyu
If you wanna have some fun,Mina
eunppit moraealcheoreom,Mina
i sungane teukbyeolhan,Mina
haengbogeul notchiji ma,Mina
"One, two, three, let’s go",Nayeon
jeo uju wiro,Nayeon
naragal deut chumchureo ga Hey,Nayeon
Let’s dance the night away,Nayeon
Let’s dance the night away,Momo
"One, two, three, let’s go",Jeongyeon
jeo bada geonneo deullil deut sori jilleo,Jeongyeon
Let’s dance the night away,Jeongyeon
oneuri majimagin deut,Dahyun
sori jilleo jeo meolli,Dahyun
kkeudeopshi naraoreul deut,Dahyun
himkkeot ttwieo deo nopi,Dahyun
oneuri majimagin deut,Mina
sori jilleo jeo meolli,Mina
ssodajineun byeolppitgwa,Nayeon
Let’s dance the night away,Jihyo
(Yeah yeah yeah),Nayeon
Let’s dance the night away,Mina
"One, two, three, let’s go",Jihyo
jeo bada geonneo deullil deut sori jilleo,Jihyo
Let’s dance the night away,Jihyo
Yeah yeah yeah,Jihyo
Yeah yeah yeah,Jihyo
Yeah yeah yeah,Jihyo
Let’s dance the night away,Nayeon
Let’s dance the night away,Nayeon
(Yeah yeah yeah),Jihyo
Let’s dance the night away,Nayeon
(Yeah yeah yeah),Jihyo
Let’s dance the night away,Nayeon
(Yeah yeah yeah),Jihyo
Let’s dance the night away,Chaeyoung
