line,member
geureon nari isseo,Chaeyoung
gapjagi honjain geonman gateun nal,Chaeyoung
eodil gado nae jariga anin geonman gatgo,Chaeyoung
gogaen tteolgweojineun nal,Chaeyoung
geureol ttaemada naege,Tzuyu
eolmana naega sojunghanji,Tzuyu
malhaejuneun neoye geu hanmadie,Tzuyu
Everything’s alright,Momo
chorahan Nobodyeseo dashi Somebody,Momo
teukbyeolhan naro byeonhae,Momo
You make me feel special,Sana
sesangi amuri nal jujeoanchyeodo,Sana
apeugo apeun maldeuri nal jjilleodo,Sana
nega isseo nan dashi useo,Sana
That’s what you do,Sana
Again I feel special,Nayeon
amugeotto anin jonjae gatdagado,Nayeon
sarajyeodo moreul saram gatdagado,Nayeon
nal bureuneun ne moksorie,Nayeon
"I feel loved, I feel so special",Nayeon
jakku sumgoman shipeoseo,Mina
maju hagiga shireoseo,Mina
modeun ge uimireul ireun deushi,Mina
naega uimireul ireun deushi,Mina
gamani jujeoanja isseul ttae,Mina
geuttae nae ape natanan neoye,Momo
ttatteushan misowa songire,Momo
Everything’s alright,Tzuyu
chorahan Nobodyeseo dashi Somebody,Tzuyu
teukbyeolhan naro byeonhae,Tzuyu
You make me feel special,Jihyo
sesangi amuri nal jujeoanchyeodo,Jihyo
apeugo apeun maldeuri nal jjilleodo,Jihyo
nega isseo nan dashi useo,Jihyo
That’s what you do,Jihyo
Again I feel special,Jeongyeon
amugeotto anin jonjae gatdagado,Jeongyeon
sarajyeodo moreul saram gatdagado,Jeongyeon
nal bureuneun ne moksorie,Jeongyeon
"I feel loved, I feel so special",Jeongyeon
You make everything alright,Dahyun
gureumi jjwak kkin haessal han jum eomneun nal,Dahyun
nega baro naye Shining light,Dahyun
That’s what you do,Dahyun
amuri eoduun bamdo dashi nat,Dahyun
I owe it to you,Dahyun
Because you make me feel,Dahyun
You make me feel special,Jihyo
sesangi amuri nal jujeoanchyeodo,Jihyo
apeugo apeun maldeuri nal jjilleodo,Jihyo
nega isseo nan dashi useo,Jihyo
That’s what you do,Jihyo
Again I feel special,Nayeon
amugeotto anin jonjae gatdagado,Nayeon
sarajyeodo moreul saram gatdagado,Nayeon
nal bureuneun ne moksorie,Nayeon
"I feel loved, I feel so special",Nayeon
