line,member
Come and be my love,Chaeyoung
 Come and be my love baby,Chaeyoung
Come and be my love,Dahyun
 Come and be my love baby,Dahyun
meonghani seoseo mak gomingomin hae,Nayeon
 na igeo jinjja jalhaneun jishinji,Nayeon
Yeah yeah yeah yeah,Jeongyeon
mweo eottae,Tzuyu
No no no no,Momo
micheosseo,Mina
nan jjeuwirago hae,Tzuyu
mujakjeong insahalkka,Mina
nae jeonhwabeonhoya,Sana
jjokjil jugo domangchilkka,Mina
Yeah yeah yeah yeah,Jeongyeon
eotteokae,Sana
No no no no,Momo
jigeumiya,Tzuyu
Girl you can do it,Chaeyoung
nuni majuchigo itjana,Tzuyu
Love is timing,Dahyun
notchimyeon huhwehaljji molla,Mina
Da,Dahyun
Chae,Chaeyoung
Da,Dahyun
Chae,Chaeyoung
deoneun mangseoriji ma,Jihyo
isanghage saenggakaedo,Nayeon
 eojjeol su eopseo banhaesseunikka,Nayeon
"You’re my heart shaker, shaker",Tzuyu
notchigi shireo,Sana
"You’re my heart shaker, shaker",Tzuyu
eotteokae,Momo
babocheoreom an gidaryeo,Nayeon
 naega malhallae banhaebeoryeottago,Nayeon
niga mame deundago,Jihyo
 haru jongil bogo shipdago,Jihyo
 Would you be my love,Jihyo
banhaebeoryeosseunikka,Sana
pyojeonggwalli hae eosaekaji anke,Jeongyeon
 maltuneun Cool cool,Jeongyeon
 ginjanghal piryo eopseo,Jeongyeon
Yeah yeah yeah yeah,Tzuyu
jeongshin bajjak charigo jipjunghae,Chaeyoung
No no no no,Momo
eotteok,Dahyun
ae ttokbaro mot bogesseo,Dahyun
jigeumiya,Tzuyu
Girl you can do it,Chaeyoung
nuni majuchigo itjana,Tzuyu
Love is timing,Dahyun
notchimyeon huhwehaljji molla,Mina
Da,Dahyun
Chae,Chaeyoung
Da,Dahyun
Chae,Chaeyoung
deoneun mangseoriji ma,Jihyo
isanghage saenggakaedo,Nayeon
 eojjeol su eopseo banhaesseunikka,Nayeon
"You’re my heart shaker, shaker",Tzuyu
notchigi shireo,Sana
"You’re my heart shaker, shaker",Tzuyu
eotteokae,Momo
babocheoreom an gidaryeo,Nayeon
 naega malhallae banhaebeoryeottago,Nayeon
niga mame deundago,Jihyo
 haru jongil bogo shipdago,Jihyo
 Would you be my love,Jihyo
banhaebeoryeosseunikka,Sana
neodo nal weonhage dwel kkeoya,Mina
 nal saranghage dwel kkeol,Mina
ganjeolhi bara neodo,Jihyo
 nawa gatgireul Oh yeah,Jihyo
mangseoriji ma meonjeo dagaga,Momo
sarangeul malhae jujeo haji ma,Tzuyu
"Come baby, be my, be my, be my love",Chaeyoung
"Come baby, bae, bae, bae, bae",Momo
isanghage saenggakaedo,Nayeon
 eojjeol su eopseo banhaesseunikka,Nayeon
"You’re my heart shaker, shaker",Tzuyu
notchigi shireo,Sana
"You’re my heart shaker, shaker",Tzuyu
eotteokae,Momo
babocheoreom an gidaryeo,Nayeon
 naega malhallae joahandago,Nayeon
niga mame deundago,Jihyo
 haru jongil bogo shipdago,Jihyo
saranghandago,Sana
banhaebeoryeottago,Mina
You’re mine,Nayeon
You’re mine,Nayeon
joahandago malhallae,Jihyo
banhaesseunikka,Nayeon
