line,member
allami ullyeodae Ring ring a ling,Nayeon
seoroye nungiri daheul ttaemada,Nayeon
almyeonseo bingbing doneunde,Mina
jeomjeom dagagajana I know it’s too late,Mina
maeumsogeuroneun da algo itjana,Sana
gyeolgugeneun seoneul neomge dwel georaneun geol,Sana
I’m warning myself,Chaeyoung
neo geureomyeon an dwae,Chaeyoung
"maebun, maecho, nae mami nae mameul chuweolhae",Jeongyeon
Out of control,Jeongyeon
nareul gamshihaneun jeo Spot spot spotlight,Jihyo
bichulsurok eodum sogeuro ppallyeo deureo,Jihyo
kkeuchi boineunde I know it’s not right,Jihyo
"I can’t stop me, can’t stop me",Momo
nae ape nohyeojin i Red red red line,Nayeon
geonneopyeonye neowa nan imi nuneul matchweo,Nayeon
neukkigo shipeo jjarithan Highlight,Nayeon
"I can’t stop me, can’t stop me",Dahyun
"I can’t stop me, can’t stop me",Tzuyu
nungama dallagu Ya ya,Momo
ttak han beonman No rules ah ah,Dahyun
moreun cheogae jweo Lights off,Momo
tonight,Jeongyeon
na chameul su eopseul geo gata Losing myself,Jihyo
ijeneun Turning back,Tzuyu
bulganeunghae nan jeomjeom deo gipeun eodume,Tzuyu
neomuna jjarithae,Sana
na nuneul gameullae,Sana
dashineun doragal su eopseul geonman gatae,Chaeyoung
Out of control,Chaeyoung
nareul gamshihaneun jeo Spot spot spotlight,Nayeon
bichulsurok eodum sogeuro ppallyeo deureo,Nayeon
kkeuchi boineunde I know it’s not right,Nayeon
"I can’t stop me, can’t stop me",Dahyun
nae ape nohyeojin i Red red red line ,Jihyo
red line,Nayeon
geonneopyeonye neowa nan imi nuneul matchweo,Jihyo
neukkigo shipeo jjarithan Highlight,Jihyo
"I can’t stop me, can’t stop me",Mina
Risky risky wiggy wigi,Chaeyoung
This is an emergency,Chaeyoung
"Help me, help me, somebody stop me",Dahyun
Cuz I know I can’t stop me,Dahyun
dapeun algo itjana,Momo
geunde gago itjana,Momo
ireogo shipji ana,Dahyun
nae ane naega tto inna bwa,Dahyun
naneun weonhaneunde,Mina
weonhaneun ge andwae,Sana
Guilty nan shireunde,Tzuyu
"I can’t stop me, can’t stop me, can’t stop me",Nayeon
nareul gamshihaneun jeo Spot spot spotlight,Jeongyeon
bichulsurok eodum sogeuro ppallyeo deureo,Jeongyeon
kkeuchi boineunde I know it’s not right,Jeongyeon
"I can’t stop me, can’t stop me",Chaeyoung
nae ape nohyeojin i Red red red line,Nayeon
geonneopyeonye neowa nan imi nuneul matchweo,Nayeon
neukkigo shipeo jjarithan Highlight,Nayeon
"I can’t stop me, can’t stop me",Sana
"I can’t stop me, can’t stop me",Tzuyu
