line,member
yeoldushiga dwemyeon dacheoyo,Nayeon
jogeumman seodulleo jullaeyo,Nayeon
Knock knock knock knock,Chaeyoung
knock on my door,Chaeyoung
Knock knock knock knock,Chaeyoung
knock on my door,Chaeyoung
bami dwemyeon nae mamsoge,Dahyun
churipmuni yeollijo,Dahyun
nugunga piryohae,Sana
Someone else,Sana
jakkujakku seoseongine,Jihyo
mollae mollae humcheobone,Jihyo
Knock knock knock knock,Jeongyeon
knock on my door,Jeongyeon
Knock knock knock knock,Jeongyeon
knock on my door,Jeongyeon
bonamana tto Playboy,Momo
tteobonamana Bad boy,Momo
hwakshini piryohae,Mina
 Knock knock,Sana
nae mami yeollige dudeuryeojweo,Nayeon
sege kung kung dashi hanbeon kung kung,Nayeon
Mi,Mina
Tzu,Tzuyu
Mi,Mina
Tzu,Tzuyu
Mi,Mina
Tzu,Tzuyu
swipge yeollijineun aneul geoya,Nayeon
naeildo moredo dashi wajweo,Jihyo
junbihago gidarilkke,Jihyo
Mo,Momo
Sa,Sana
Mo,Momo
Sa,Sana
Mo,Momo
Sa,Sana
deureodo gyesok deutgo shipeun geol,Jihyo
Knock on my door,Jihyo
piryo eopseo Gold key or get lucky,Chaeyoung
jinshimimyeon Everything’s gonna be okay,Chaeyoung
eotteokae beolsseo wanna bwa ,Dahyun
jamshiman gidaryeo jullaeyo,Dahyun
honja isseul ttae huk deureowa,Jeongyeon
jeongshin eopshi nal heundeureo nwa,Jeongyeon
jigeumi ttak neol wihan ,Jeongyeon
Show time make it yours,Jeongyeon
"daeng daeng ullimyeon maeil chajawajullae
",Tzuyu
baengbaeng doldagan jamdeureo beoril georyo,Mina
Knock knock knock knock,Jeongyeon
Knock on my door,Jeongyeon
Knock knock knock knock,Jeongyeon
 knock on my door,Jeongyeon
Come in come in come in baby,Chaeyoung
Take my hands,Chaeyoung
nae mami yeollige dudeuryeojweo,Sana
sege kung kung dashi hanbeon kung kung,Sana
Mi,Mina
Tzu,Tzuyu
Mi,Mina
Tzu,Tzuyu
Mi,Mina
Tzu,Tzuyu
swipge yeollijineun aneul geoya,Nayeon
naeildo moredo dashi wajweo,Jihyo
junbihago gidarilkke,Jihyo
Mo,Momo
Sa,Sana
Mo,Momo
Sa,Sana
Mo,Momo
Sa,Sana
deureodo gyesok deutgo shipeun geol,Jihyo
Knock on my door,Jihyo
Hey hey i shigani jinamyeon,Mina
gudeoitteon nae mami nae nae mami,Tzuyu
Ice cream-cheoreom noga beoril tenikka,Dahyun
Come knock on my door,Jihyo
nae mami yeollige dudeuryeojweo,Nayeon
 sege kung kung dashi hanbeon kung kung,Nayeon
Da,Dahyun
Chae,Chaeyoung
Da,Dahyun
Chae,Chaeyoung
Da,Dahyun
Chae,Chaeyoung
swipge yeollijineun aneul geoya,Nayeon
naeildo moredo dashi wajweo,Jeongyeon
junbihago gidarilkke,Jeongyeon
Mo,Momo
Tzu,Tzuyu
Mo,Momo
Tzu,Tzuyu
Mo,Momo
Tzu,Tzuyu
deureodo gyesok deutgo shipeun geol,Jihyo
Knock knock knock knock on my door,Mina
"(I’m freakin’ freakin’ out freakin’ out out, knock knock)",Chaeyoung
Knock knock knock knock on my door,Mina
Knock knock knock knock on my door,Tzuyu
Knock knock knock knock,Nayeon
 Knock on my door,Nayeon
 Knock knock knock knock,Nayeon
 Knock on my door,Nayeon
