line,member
modu nareul gajigo maeil gaman an dujo,Nayeon
naega neomu yeppeujo,Momo
na ttaemune da himdeuljo,Momo
eodil geotgo isseodo ppalgan badagingeojo,Nayeon
Red carpet gateun gibun,Sana
modu nal cheoda bojo,Sana
eotteon sarameun eomeonimi nugunyago,Jihyo
shinseonhage mal georeodo,Mina
amu neukkimi an deuljo Oh,Mina
hajiman nado nugunga hago sarange,Jihyo
ppajeobogo shipeo Baby,Mina
jal deureoyo nae Boy,Mina
dan hanbeondo neukkyeobon jeok eomneun geol,Tzuyu
alge haejuneun,Tzuyu
eolmaga dwaedo gidarigo shipeo,Jihyo
eotteoke naega umjigil su eopge,Nayeon
nal Ooh ahh ooh ahh-hage mandeureo jweo,Nayeon
gajja gajja jinshim eomneun gajja,Nayeon
jal ga jal ga,Nayeon
eotteoke ije deo halmari eopge,Jihyo
nal Ooh ahh ooh ahh-hage mandeureo jweo,Jihyo
Bla la la la malmanhaji malgo,Jihyo
neukkyeojige,Jihyo
nal bwa geobwa tto du beon bwa,Dahyun
hanbeon jinachigo deungeul dollyeo cheodabwa ,Chaeyoung
eodil gadeorado hangsang min nat,Dahyun
hajiman naega jeil binna,Chaeyoung
Da,Dahyun
Chae,Chaeyoung
meorissogen neul yeonghwa sok gateun La la la,Mina
jangmyeondeuri jinagane,Sana
saenggangmanhaedo tteolline Yeah,Sana
ijeneun nado nugunga hago sarange,Momo
ppajeo bogo shipeo Baby,Sana
jal deureoyo nae Boy,Sana
dan hanbeondo neukkyeobon jeok eomneun geol,Tzuyu
"alge haejuneun
",
alge haejuneun,Tzuyu
eolmaga dwaedo gidarigo shipeo,Jihyo
eotteoke naega umjigil su eopge,Nayeon
nal Ooh ahh ooh ahh-hage mandeureo jweo,Nayeon
gajja gajja jinshim eomneun gajja,Nayeon
jal ga jal ga,Nayeon
eotteoke ije deo halmari eopge,Jihyo
nal Ooh ahh ooh ahh-hage mandeureo jweo,Jihyo
Bla la la la malmanhaji malgo,Jihyo
neukkyeojige,Jihyo
amuhago manna shijakagi shireo,Nayeon
shwipji aneun yeoja geuge naingeol,Mina
Better think about it TWICE,Jihyo
(Yeah),Jihyo
 eotteoke naega umjigil su eopge,Jeongyeon
nal Ooh ahh ooh ahh-hage mandeureo jweo,Jeongyeon
gajja gajja jinshim eomneun gajja,Jeongyeon
(gajja Yeah),Jihyo
jal ga jal ga,Jeongyeon
eotteoke ije deo halmari eopge,Jihyo
nal Ooh ahh ooh ahh-hage mandeureo jweo,Jihyo
Bla la la la malmanhaji malgo,Jihyo
neukkyeojige,Jihyo
