line,member
seollenda Me likey,Sana
 Me likey likey likey,Sana
 Me likey likey likey,Sana
dugeun dugeun dugeun,Dahyun
Me likey,Jihyo
 Me likey likey likey,Jihyo
 Me likey likey likey,Jihyo
dugeun dugeun dugeun,Chaeyoung
jakku deureonaego shipji jakkuman,Nayeon
sasohan geot hanakkaji jeonbuda,Nayeon
jageun hwamyeon soge naega ,Jihyo
jeil yeppeo boigopa,Jihyo
ajigeun gamchweo ireon nae maeum kkukkuk,Jihyo
meot burindaneun geon jeongmal gwichaneun geo,Jeongyeon
 geureotago jeolttae ,Jeongyeon
daechunghal suga eomneungeol,Jeongyeon
(Oh),Jihyo
maeil gaseum ttwige hae,Tzuyu
 igeon niga mollayaman dwae,Tzuyu
geureomyeonseo ppeonppeonhage,Nayeon
BBkeurim papapa,Momo
 ripseutigeul mammamma,Momo
kamerae damabolkka yeppeuge,Momo
igeo bomyeon useo jweo,Tzuyu
 geurigo kkok nulleo jweo,Tzuyu
 jeo mite angjeungmatgo saeppalgan,Tzuyu
geunde joayoran mareun ppeonhae,Mina
 nae mam pyohyeonhagien bujokande,Mina
geunde joayo jamdo mot jado,Nayeon
 jigakage dwaedo joeungeol,Nayeon
seollenda Me likey,Sana
 Me likey likey likey,Sana
 Me likey likey likey,Sana
dugeun dugeun dugeun,Dahyun
Me likey,Jihyo
 Me likey likey likey,Jihyo
 Me likey likey likey,Jihyo
dugeun dugeun dugeun,Chaeyoung
sumeul hup chama jipeoreul ollige,Jihyo
dashi hanbeon heorireul hup,Jeongyeon
eurachachacha da ibeotta Baby,Jihyo
sesangen yeppeun oshi ,Jeongyeon
neomunado manko mana,Jeongyeon
(Whoa),Jihyo
BBkeurim papapa,Momo
 ripseutigeul mammamma,Momo
 kamerae damabolkka yeppeuge,Momo
igeo bomyeon useo jweo,Tzuyu
 geurigo kkok nulleo jweo,Tzuyu
 jeo mite angjeungmatgo saeppalgan,Tzuyu
geunde joayoran mareun ppeonhae,Mina
 nae mam pyohyeonhagien bujokande,Mina
geunde joayo jamdo mot jado,Nayeon
 jigakage dwaedo joeungeol,Nayeon
geujeo barabogo itji,Jihyo
 amu maldo hal su eopji Oh,Jihyo
jogeumman deo dagawayo ,Nayeon
nae mam arajweoyo,Nayeon
 deo isang gamchugoman shipji ana,Nayeon
Uh oneulttara gibuni kkulkkulhae,Dahyun
 an geureoncheokae bwado seulpeunyae,Dahyun
amu baneung eomneun neo ttaeme ppijeonneunde,Chaeyoung
 nunchi eopshi chingudeuri ,Chaeyoung
"naorago bureune
",Chaeyoung
Oh jamkkanman jamkkanman,Dahyun
 yeollagi ijeya oneungeol Woo,Dahyun
harujongil gibuni watta gatta,Chaeyoung
 uldagado dashi shinnaseo chumchune,Chaeyoung
seollenda Me likey,Sana
 Me likey likey likey,Sana
 Me likey likey likey,Sana
dugeun dugeun dugeun,Dahyun
Me likey,Jihyo
 Me likey likey likey,Jihyo
 Me likey likey likey,Jihyo
dugeun dugeun dugeun,Chaeyoung
