line,member
"Trying to let you know
Sign-eul bonae Signal bonae",Dahyun
"I must let you know
Sign-eul bonae Signal bonae
",Chaeyoung
Sign-eul bonae,Dahyun
Signal bonae,Chaeyoung
Sign-eul bonae,Dahyun
Signal bonae,Chaeyoung
Sign-eul bonae,Dahyun
Signal bonae,Chaeyoung
Da,Dahyun
Chae,Chaeyoung
Sign-eul bonae Signal bonae,Momo
geunde jeonhyeo an tonghae,Momo
nunbicheul bonae nunchireul june,Mina
geunde mot aradeunne,Mina
dapdapaeseo michigetta jeongmal,Momo
wae geureonji moreugetta jeongmal,Mina
dashi han beon himeul naeseo,Momo
Mo,Momo
Mi,Mina
nunjitdo sonjitdo eotteon pyojeongdo,Jeongyeon
soyongi eomne hanado an tonghae,Jeongyeon
nunchido kochido jeonhyeo eomna bwa,Chaeyoung
deo isang eotteoke nae mameul pyohyeonhae,Chaeyoung
eonjebuteonga nan niga joa,Jihyo
jigi shijakaesseo baboya,Jihyo
wae ireokedo nae mameul molla,Jihyo
eonjekkaji ireoke dunhage,Nayeon
nareul chinguroman daehallae,Nayeon
naega weonhaneun geon geuge aninde,Nayeon
Signal bonae Signal bonae,Tzuyu
jjirit jjirit jjirit jjirit,Tzuyu
nan neoreul weonhae nan neoreul weonhae,Tzuyu
wae baneungi eomni,Tzuyu
mannal ttae mada maeumeul dama,Sana
jjirit jjirit jjirit jjirit,Sana
gidarijana da boijana,Sana
wae alji motani,Sana
"Trying to let you know
Sign-eul bonae Signal bonae",Dahyun
"I must let you know
Sign-eul bonae Signal bonae",Chaeyoung
neol bomyeo useumyeon arachaeyaji,Jeongyeon
oneulman myeot beonjjae neol bomyeo unneunde,Jeongyeon
jakku mareul geolmyeon jom neukkyeoyaji,Mina
gyesok ni gyeote meomulleoinneunde,Mina
eonjebuteonga nan niga joa,Jihyo
jigi shijakaesseo baboya,Jihyo
wae ireokedo nae mameul molla,Jihyo
eonjekkaji ireoke dunhage,Nayeon
nareul chinguroman daehallae,Nayeon
naega weonhaneun geon geuge aninde,Nayeon
Signal bonae Signal bonae,Tzuyu
jjirit jjirit jjirit jjirit,Tzuyu
nan neoreul weonhae nan neoreul weonhae,Tzuyu
wae baneungi eomni,Tzuyu
mannal ttae mada maeumeul dama,Sana
jjirit jjirit jjirit jjirit,Sana
gidarijana da boijana,Sana
wae alji motani,Sana
Tururututu tururututu,Dahyun
jjirit jjirit jjirit jjirit,Dahyun
Tururututu tururututu,Jihyo
wae baneungi eomni,Jihyo
Tururututu tururututu,Momo
jjirit jjirit jjirit jjirit,Momo
Tururututu tururututu,Nayeon
wae alji motani,Nayeon
Sign-eul bonae Signal bonae,Momo
geunde jeonhyeo an tonghae,Momo
nunbicheul bonae nunchireul june,Mina
geunde mot aradeunne,Mina
dapdapaeseo michigetta jeongmal,Momo
wae geureonji moreugetta jeongmal,Mina
dashi han beon himeul naeseo,Momo
Mo,Momo
Mi,Mina
