line,member
ireojido motaneunde,Nayeon
jeoreojido motane,Nayeon
geujeo barabomyeo Ba-ba-ba-baby,Nayeon
maeil sangsangman hae ireumgwa hamkke,Mina
sseuk mareul nwanne Baby,Mina
ajik urin moreuneun sainde,Mina
amugeona geolcheodo areumdaweo,Tzuyu
geoul sok dan duriseo haneun,Mina
Fashion show show,Mina
ibeonen jeongmal kkokkok naega meonjeo Talk talk,Jihyo
dajim ppunin geol maebeon dajim ppunin geol,Tzuyu
Nanana nananana,Sana
konnoraega naodaga nado mollae,Sana
nunmul nal kkeot gatae,Momo
anin geot gatae naega anin geot gatae,Momo
imi nan da keottago saenggakaneunde,Nayeon
eojjeomyeon nae maminde wae,Nayeon
nae mamdaero hal su eomneun geonde,Nayeon
mireonaeryeogo hamyeon halsurok,Jihyo
jakku kkeullyeo wae jakku jakku kkeullyeo Baby,Jihyo
ireon nae mam moreugo neomuhae neomuhae,Dahyun
Tell me that you’d be my baby,Jihyo
eocheoguni eopttago hae,Jeongyeon
eolgul gapseul motandae,Jeongyeon
jeonhyeo wiro andwae Ba-ba-ba-baby,Jeongyeon
michil kkeot gatae i wajunge wae,Jihyo
baeneun tto gopeun geonde,Jihyo
haru jongil meokkiman haneunde,Jihyo
maemmaemaemae amu joedo eomneun,Chaeyoung
inhyeongman ttaejji,Chaeyoung
jongil anjaittaga eopdeuryeotta,Dahyun
shigani hwekwekwek,Dahyun
pibuneun wae ireoke tto chikchik,Chaeyoung
jakku tiktik georigo man shipji,Dahyun
Da,Dahyun
Chae,Chaeyoung
Nanana nananana,Sana
konnoraega naodaga nado mollae,Sana
jjajeungnal kkeot gatae hwanal geot gatae,Momo
ireon aega aninde,Momo
imi nan da keottago saenggakaneunde,Nayeon
eojjeomyeon nae maminde wae,Nayeon
nae mamdaero hal su eomneun geonde,Nayeon
mireonaeryeogo hamyeon halsurok,Jihyo
jakku kkeullyeo wae jakku jakku kkeullyeo Baby,Jihyo
ireon nae mam moreugo neomuhae neomuhae,Dahyun
Tell me that you’d be my baby,Jihyo
hokshi ireon nareul alkkayo,Tzuyu
idaero sarajeo beorimyeon andwaeyo,Mina
ibeonen jeongmal kkokkok naega meonjeo Talk talk,Jihyo
dajim ppunin geol maebeon dajim ppunin geol,Jihyo
Na,Nayeon
Mi,Mina
imi nan,Mina
eojjeomyeon nae maminde wae,Mina
Na,Nayeon
Mi,Mina
mireonaeryeogo hamyeon halsurok,Jeongyeon
jakku kkeullyeo wae jakku jakku kkeullyeo Baby,Jeongyeon
(Oh),Jihyo
ireon nae mam moreugo neomuhae neomuhae (neomuhae Baby),Dahyun
(neomuhae Baby),Jihyo
(Oh),Jihyo
Tell me that you’d be my baby,Jihyo
