line,member
"maeilgachi yeonghwa sogeseona
chaek sogeseona deurama sogeseo sarangeul neukkyeo
Mmm sarangeul baeweo",Nayeon
"nae ilcheoreom jakku gaseumi ttwieo
dugeundugeungeoryeo seolleime bupureo olla
Mmm gunggeumhaeseo michil geonman gata",Jeongyeon
"Ooh eonjengan naegedo
ireon iri shiljero ireonalkka",Mina
geuge eonjejjeumilkka? eotteon saramilkka?,Chaeyoung
satangcheoreom dalkomhadaneunde,Sana
haneureul naneun geot gattaneunde,Sana
sarangi eotteon neukkiminji,Sana
haru jongil utgo ittaneunde,Tzuyu
sesangi da areumdapdaneunde,Tzuyu
eonjengan naegedo sarangi olkka,Tzuyu
"jigeum ireon sangsangmaneurodo
tteoollyeoman bwado gaseumi teojil geot gateunde
Mmm ireoke joeunde",Jihyo
"manil eonjenga jinjjaro naege
sarangi ol ttae nan ureobeoriljido molla
Mmm jeongmal gunggeumhae michil geonman gata",Momo
"Ooh eonjengan naegedo
ireon iri shiljero ireonalkka",Mina
geuge eonjejjeumilkka? eotteon saramilkka?,Dahyun
satangcheoreom dalkomhadaneunde,Sana
haneureul naneun geot gattaneunde,Sana
sarangi eotteon neukkiminji,Sana
haru jongil utgo ittaneunde,Tzuyu
sesangi da areumdapdaneunde,Tzuyu
eonjengan naegedo sarangi olkka,Tzuyu
"jigeum sesang eoneu gose salgo inneunji
dodaeche eonjejjeum nawa mannage dwelleunji
eonje eotteoke uriye inyeoneun
shijakdwelleunji moreujiman neukkimi eojjeonji",Dahyun
"jinjja joeul geot gata waenji
yeonghwa deuramabodado deo meotjin
sarangi ol kkeoya nae yegam eonjena majji
eoseo natanabwa naneun da junbiga dwaetji Ready!",Chaeyoung
chajanael kkeoya,Jeongyeon
bogo shipeo jukkesseo,Nayeon
deo isang chameul su eopseul geonman gata,Nayeon
"satangcheoreom dalkomhadaneunde
haneureul naneun geot gattaneunde",Jihyo
sarangi eotteon neukkiminji,Jihyo
"haru jongil utgo ittaneunde
sesangi da areumdapdaneunde",Nayeon
eonjengan naegedo sarangi olkka,Nayeon
(I wanna know),Nayeon
(What is love),Nayeon
(I wanna know),Nayeon
"(I wanna know, I wanna know, what is love)",Nayeon
