line,member
Hey boy,Mina
"Look, I’m gonna make this simple for you",Mina
You got two choices… YES or YES?,Mina
(Ah),Tzuyu
Ji,Jihyo
(Ah ah),Tzuyu
Na,Nayeon
naega ireokedo igijeogieotteonga,Jeongyeon
mweonga ireoke gatgo shipdeon jeok isseonna,Jeongyeon
da nolla nae ppeonppeonhame,Jeongyeon
saenggakboda gwagamhaejin naye Scenario,Mina
i jeongdo peullaenimyeon wanbyeokae manjokae,Mina
I don’t care nuga mweoraedo,Mina
nae mameun jeonghaesseo YES!,Sana
geureom ije ni daedabeul deureul charye,Sana
himdeulmyeon bogireul julkke neon goreugiman hae,Tzuyu
gominhal piryodo eopge haejulkke,Tzuyu
mweol goreulji molla junbihaebwasseo,Nayeon
Chae,Chaeyoung
ni maeumeul molla junbihaebwasseo,Jihyo
Sa,Sana
shireoneun shireo,Jeongyeon
na animyeon uri?,Momo
seontaegeul jonjunghae,Jeongyeon
geojeoreun geojeolhae,Dahyun
seontaekjineun hana ja seontaegeun ni mam,Jihyo
It’s all up to you,Tzuyu
Na,Nayeon
jinshimilkka?,Mina
Do not guess,Momo
jinshimini?,Mina
Do not ask,Momo
aemaehan jwau malgo hwakshilhi wiaraero,Nayeon
There’s no letters N & O,Dahyun
jiweobeorillae oneulburo,Dahyun
bokjapage gominhal piryo,Chaeyoung
eopseo jeongdabeun YES YES YO,Chaeyoung
eoptteon igishimdo jageukaneun neoye nungwa,Jeongyeon
neol hyanghan hogishimi mannaseo,Jeongyeon
taolla taoreunda,Momo
My heart burn burn burn,Momo
jogeum shwipge malhajamyeon,Sana
neon mweol gollado nal mannage dwel kkeoya,Sana
(Waiting for you),Jihyo
mweo jom hwangdanghagin haedo eokjirago haedo,Mina
(Oh),Jihyo
jeolttae huhwehaji anke haejulkke,Mina
mweol goreulji molla junbihaebwasseo,Nayeon
Chae,Chaeyoung
ni maeumeul molla junbihaebwasseo,Jihyo
Sa,Sana
shireoneun shireo,Jeongyeon
na animyeon uri?,Momo
seontaegeul jonjunghae,Jeongyeon
geojeoreun geojeolhae,Dahyun
seontaekjineun hana ja seontaegeun ni mam,Jihyo
"Now, it’s all up to you",Tzuyu
Maybe not,Chaeyoung
(No! No!),Dahyun
Maybe yes,Chaeyoung
(No! No!),Dahyun
jom deo seonmyeonghage ni mameul naege boyeobwa,Jihyo
gwi giuryeobwa museun soriga deulliji anni?,Nayeon
Jeong,Jeongyeon
Mo,Momo
(Oh),Nayeon
Ji,Jihyo
gollabwa ja seontaegeun ni mam,Mina
mweol goreulji molla junbihaebwasseo,Nayeon
 (Oh),Jihyo
Chae,Chaeyoung
(Oh),Chaeyoung
(Oh),Nayeon
ni maeumeul molla junbihaebwasseo,Jihyo
(junbihaebwasseo Babe),Nayeon
Sa,Sana
(Oh) shireoneun shireo,Jeongyeon
(Oh) ,Chaeyoung
(Oh) ,Nayeon
(Oh),Jihyo
na animyeon uri?,Momo
seontaegeul jonjunghae,Jeongyeon
geojeoreun geojeolhae (Oh),Dahyun
 (Oh),Chaeyoung
(Oh),Nayeon
seontaekjineun hana ja seontaegeun ni mam,Jihyo
It’s all up to you,Tzuyu
(It’s all up to you),Jihyo
Na,Nayeon
