start_time,end_time,lyric,vocal1,vocal2,duration
"00:00:22,931","00:00:24,911",maeil ullineun bel bel bel,Nayeon,,1.98
"00:00:24,911","00:00:26,866", ijen nareul baeryeo hae jweo,Nayeon,,1.955
"00:00:26,866","00:00:29,149", baeteori nangbihagin shireo,Nayeon,,2.283
"00:00:29,149","00:00:31,897",jakkuman bwa jakkujakkuman wa,Mina,,2.748
"00:00:31,897","00:00:34,726", jeonhwaga peong teojil kkeonman gata,Mina,,2.829
"00:00:34,726","00:00:37,143",molla molla sumdo mot shwindae,Sana,,2.417
"00:00:37,143","00:00:38,501", na ttaemune himdeureo,Sana,,1.358
"00:00:38,501","00:00:41,104", kung shimjangi tteoreojindae wae,Sana,,2.603
"00:00:41,104","00:00:43,530",gyae mareun na neomu yeppeudae,Mina,,2.426
"00:00:43,530","00:00:45,059", jaranghaneungeon anigo,Mina,,1.529
"00:00:46,256","00:00:49,209",Ah akkaneun motbadaseo mianhae,Tzuyu,,2.953
"00:00:49,209","00:00:52,068",chingureul mannaneura Shy shy shy,Sana,,2.859
"00:00:52,068","00:00:54,740",mannagin jom geureoku mianhae,Tzuyu,,2.672
"00:00:54,740","00:00:57,016",jom itta yeollakalkke Later,Mina,,2.276
"00:00:57,016","00:00:59,629",joreuji ma eolma gaji ana,Momo,,2.613
"00:00:59,629","00:01:02,343", bureuge haejulkke Baby,Momo,,2.714
"00:01:02,343","00:01:05,175",ajigeun jom illeo naemam gatgin illeo,Jeongyeon,,2.832
"00:01:05,175","00:01:07,848", hajiman deo boyeojullae,Jeongyeon,,2.673
"00:01:08,048","00:01:09,317",CHEER UP BABY,Jihyo,,1.269
"00:01:09,317","00:01:10,746",CHEER UP BABY,Jihyo,,1.429
"00:01:10,746","00:01:12,958", jom deo himeul nae,Jihyo,,2.212
"00:01:12,958","00:01:15,913", yeojaga shwipge mameul jumyeon andwae,Jihyo,,2.955
"00:01:15,913","00:01:19,162", geuraeya niga nal deo joahage dwelkkeol,Jihyo,,3.249
"00:01:19,162","00:01:24,050",taeyeonhage yeongihallae amureochi anke,Nayeon,,4.888
"00:01:24,050","00:01:27,032", naega neol joahaneun mam moreuge,Nayeon,,2.982
"00:01:27,032","00:01:29,473",just get it together and then baby,Nayeon,,2.441
"00:01:29,473","00:01:30,417",CHEER UP,Nayeon,,0.944
"00:01:31,683","00:01:34,382",anjeolbujeol moksoriga yeogikkaji deullyeo,Chaeyoung,,2.699
"00:01:34,382","00:01:37,094",ttame jeojeun jeonhwagiga yeogiseodo boyeo,Dahyun,,2.712
"00:01:37,094","00:01:39,983",baro baro daedapaneun geotto maeryeok eopseo,Chaeyoung,,2.889
"00:01:39,983","00:01:42,711",meshijiman ilkko hwagin an haneun geon gibon,Dahyun,,2.728
"00:01:42,711","00:01:45,500",neomu shimhaenna Boy,Chaeyoung,,2.789
"00:01:45,500","00:01:48,240", ireodaga jichilkka bwa geokjeongdwegin hago,Chaeyoung,,2.74
"00:01:48,240","00:01:50,988",an geureomyeon naega deo,Dahyun,,2.748
"00:01:50,988","00:01:53,623", ppajil kkeonman gateo ppajil kkeonman gateo,Dahyun,,2.635
"00:01:53,623","00:01:56,889",Oh a dapjangeul motaejweoseo mianhae,Tzuyu,,3.266
"00:01:56,889","00:01:59,602",chingureul mannaneura Shy shy shy,Sana,,2.713
"00:01:59,602","00:02:02,753",mannagin jom geureoku mianhae,Tzuyu,,3.151
"00:02:02,753","00:02:04,882",jom itta yeollakalkke Later,Sana,,2.129
"00:02:04,882","00:02:07,641",joreuji ma eodi gaji ana,Momo,,2.759
"00:02:07,641","00:02:10,339", dweeo julkke neoye Baby,Momo,,2.698
"00:02:10,339","00:02:13,242",neomu ppallin shireo seongereul deo boyeo,Jeongyeon,,2.903
"00:02:13,242","00:02:15,917", naega neol gidaryeo julkke,Jeongyeon,,2.675
"00:02:15,917","00:02:17,373",CHEER UP BABY,Jihyo,,1.456
"00:02:17,373","00:02:18,784",CHEER UP BABY,Jihyo,,1.411
"00:02:18,784","00:02:20,998", jom deo himeul nae,Jihyo,,2.214
"00:02:20,998","00:02:23,845", yeojaga shwipge mameul jumyeon andwae,Jihyo,,2.847
"00:02:23,845","00:02:27,091", geuraeya niga nal deo joahage dwelkkeol,Jihyo,,3.246
"00:02:27,091","00:02:32,055",taeyeonhage yeongihallae amureochi anke,Nayeon,,4.964
"00:02:32,055","00:02:35,008", naega neol joahaneun mam moreuge,Nayeon,,2.953
"00:02:35,008","00:02:37,474",just get it together and then baby,Nayeon,,2.466
"00:02:37,474","00:02:38,248",CHEER UP,Nayeon,,0.774
"00:02:39,312","00:02:43,150",nado niga joa sangcheo ibeulkka bwa,Mina,,3.838
"00:02:43,150","00:02:51,739",geokjeongdwejiman yeojanikka ihaehaejugil,Mina,Nayeon,8.589
"00:02:51,739","00:02:54,430",sok maeum deulkil kkabwa geobina,Jihyo,,2.691
"00:02:54,430","00:02:57,202",jigeumcheoreom jogeumman deo dagawa,Jihyo,,2.772
"00:02:57,202","00:02:59,004",geuri orae geollijin ana,Jihyo,,1.802
"00:02:59,004","00:03:01,008",Just get it together and then baby ,Jihyo,,2.004
"00:03:01,008","00:03:01,727",CHEER UP,Jihyo,,0.719
"00:03:01,727","00:03:03,942","Be a man, a real man,",ALL,,2.215
"00:03:03,942","00:03:06,913",gotta see u love me like a real man,ALL,,2.971
"00:03:06,913","00:03:09,568","Be a man, a real man,",ALL,,2.655
"00:03:09,568","00:03:11,698",gotta see u love me like a real man,ALL,,2.13
"00:03:12,931","00:03:14,198",CHEER UP BABY,Jeongyeon,Jihyo,1.267
"00:03:14,198","00:03:15,616",CHEER UP BABY,Jeongyeon,Jihyo,1.418
"00:03:15,616","00:03:17,932",Give it a little more,Jeongyeon,Jihyo,2.316
