start_time,end_time,lyric,Vocal1,Vocal2,duration
"00:00:13,369","00:00:18,204",I know gochyeo sseul gachido eoptan geol,Nayeon,,4.835
"00:00:18,204","00:00:21,542",hajiman geunyeowa dalli nan neol,Nayeon,,3.338
"00:00:21,542","00:00:25,490",shwipge nwajul mami eopgeodeun,Nayeon,,4.108
"00:00:25,490","00:00:25,650",Never let go,Chaeyoung,,
"00:00:25,770","00:00:28,888",You don’t know me,Mina,,3.238
"00:00:28,888","00:00:32,316",L O V E or hatred,Mina,,3.428
"00:00:32,316","00:00:35,387",ibyeol daeshin nan sunjinhan misoman,Mina,,3.071
"00:00:35,387","00:00:39,823",oneuldo ne pume angillae,Mina,,4.436
"00:00:39,823","00:00:41,458",amugeotto moreuneun cheok,Dahyun,,1.635
"00:00:41,458","00:00:43,140",Baby no more real love,Momo,,1.682
"00:00:43,140","00:00:44,759",neoye gyeote isseojulge,Dahyun,,1.619
"00:00:44,759","00:00:46,702",majimaken break your heart,Momo,,1.943
"00:00:46,702","00:00:48,398",Bad boy bad boy,Jeongyeon,,1.696
"00:00:48,398","00:00:49,609",yeah you really make me,Jeongyeon,,1.211
"00:00:49,609","00:00:53,764","a mad girl mad girl, wo oh oh",Jeongyeon,,4.155
"00:00:53,764","00:00:56,999","I want you to cry, cry for me",Jihyo,,3.235
"00:00:56,999","00:01:00,386",naega ureotteon geotcheoreom Cry for me,Jihyo,,3.387
"00:01:00,386","00:01:02,216",Make your rain fall,Jihyo,,1.83
"00:01:02,216","00:01:05,174",Cry for me but,Jihyo,,2.958
"00:01:05,174","00:01:06,148",Again,Jihyo,,0.974
"00:01:06,148","00:01:09,161",jogeumsshik jogeumsshik tto ppajyeoga,Nayeon,,3.013
"00:01:09,161","00:01:12,806",sarange nae gyeolshimi tto muneojyeoga,Nayeon,,3.645
"00:01:12,806","00:01:16,219",yongseohal pinggyereul mandeureoga,Nayeon,,3.413
"00:01:16,219","00:01:17,326",I want you to,Tzuyu,,1.107
"00:01:17,326","00:01:17,916",I want you to,Tzuyu,,0.59
"00:01:17,916","00:01:18,778",I want you to,Tzuyu,,0.862
"00:01:18,778","00:01:19,540",Cry for me,Tzuyu,,4.011
"00:01:22,270 ","00:01:26,507",I don’t know neoran nom miweojil jul moreugo,Sana,,3.718
"00:01:26,507","00:01:31,631",chingudeulhanten tto neoreul gamssajuneun jung,Sana,,5.124
"00:01:31,631","00:01:35,954",baboga dwae beoryeossgun,Sana,,4.323
"00:01:36,300","00:01:40,495",ooh neo wae jakku nareul bomyeo unneunde,Chaeyoung,,4.541
"00:01:40,495","00:01:43,850",ttak han beone nunmurimyeon dweneunde,Chaeyoung,,3.355
"00:01:43,850","00:01:49,231","Cry for me, let me please forgive you ah",Dahyun,,5.381
"00:01:49,231","00:01:50,890",amugeotto moreuneun cheok,Momo,,1.659
"00:01:50,890","00:01:52,539",Baby just like real love,Dahyun,,1.649
"00:01:52,539","00:01:54,259",majimak gihweya eoseo,Momo,,1.72
"00:01:54,259","00:01:56,294",Show me your true love,Dahyun,Nayeon,2.035
"00:01:56,294","00:01:57,880",Bad boy bad boy,Jihyo,,1.586
"00:01:57,880","00:01:59,122",yeah you really make me,Jihyo,,1.242
"00:01:59,122","00:02:03,295",a sad girl sad girl wo oh oh,Jihyo,Nayeon,4.173
"00:02:03,295","00:02:06,493","I want you to cry, cry for me",Jeongyeon,,3.198
"00:02:06,493","00:02:09,924","Just like I cried, Cry for me",Jeongyeon,,3.431
"00:02:09,924","00:02:11,506",Make your rain fall,Jeongyeon,,1.582
"00:02:11,506","00:02:14,738",Cry for me but,Jeongyeon,,3.232
"00:02:14,738","00:02:15,677",Again (me yeah),Jeongyeon,Mina,0.939
"00:02:15,677","00:02:18,590",Little by little I fall for you,Nayeon,,2.913
"00:02:18,590","00:02:22,358",Love makes my mind give way,Nayeon,,3.768
"00:02:22,358","00:02:25,577",And I keep making reasons to forgive,Nayeon,,3.219
"00:02:25,577","00:02:26,376",I want you to,Sana,,0.799
"00:02:26,376","00:02:27,242",I want you to,Sana,,0.866
"00:02:27,242","00:02:28,094",I want you to,Sana,,0.852
"00:02:28,094","00:02:29,646",Cry for me,Sana,,1.552
"00:02:29,646","00:02:32,974",Love is so toxic,Mina,,3.328
"00:02:32,974","00:02:36,290",It makes hatred melt away,Mina,,3.316
"00:02:36,290","00:02:43,088",I want you again by my side yeah yeah,Tzuyu,,6.798
"00:02:43,088","00:02:46,378","I want you to cry, cry for me",Nayeon,,3.29
"00:02:46,378","00:02:49,684",neo yeongirado hae ppalli Cry for me,Nayeon,,3.306
"00:02:49,684","00:02:52,010",Make your rain fall,Nayeon,,2.326
"00:02:52,010","00:02:56,266",fall and fall now yeah,Nayeon,,4.256
"00:02:56,266","00:02:59,473","I want you to cry, cry for me",Jeongyeon,Nayeon,3.207
"00:02:59,473","00:03:02,911","Just like I cried, Cry for me",Jeongyeon,Nayeon,3.438
"00:03:02,911","00:03:04,516",Make your rain fall,Jeongyeon,,1.605
"00:03:04,516","00:03:07,698",Cry for me but,Jeongyeon,Mina,3.182
"00:03:07,698","00:03:08,658",Again,Jeongyeon,Mina,0.96
"00:03:08,658","00:03:11,626",Little by little I fall for you,Jihyo,Mina,2.968
"00:03:11,626","00:03:15,281",Love makes my mind give way,Jihyo,Mina,3.655
"00:03:15,281","00:03:18,572",And I keep making reasons to forgive,Jihyo,Dahyun,3.291
"00:03:18,572","00:03:19,360",I want you to,Chaeyoung,,0.788
"00:03:19,360","00:03:20,147",I want you to,Chaeyoung,,0.787
"00:03:20,147","00:03:21,046",I want you to,Chaeyoung,,0.899
"00:03:21,046","00:03:23,046",Die for me,Chaeyoung,,2
