start_time,end_time,lyric,vocal1,vocal2,duration
"00:00:00,420","00:00:08,220",Nanananananana nanananananana,Mina,,7.8
"00:00:08,240","00:00:16,000",You and me in the moonlight byeol kkot chukje yeollin bam,Nayeon,,7.76
"00:00:16,079","00:00:24,600",pado sorireul teulgo chumeul chuneun i sungan i neukkim jeongmal ttagya,Sana,,8.521
"00:00:24,640","00:00:32,640",badaya uriwa gachi nora barama neodo ijjogeuro wa,Momo,,8
"00:00:32,680","00:00:36,700",dalppit jomyeong araeseo neowa nawa sesanggwa,Jeongyeon,,4.02
"00:00:36,740","00:00:40,780","da gachi Party all night long Yeah, it's good",Jeongyeon,,4.04
"00:00:40,820","00:00:43,080",If you wanna have some fun ,Tzuyu,,2.26
"00:00:43,120","00:00:44,960",jjapjjalhan gonggicheoreom,Tzuyu,,1.84
"00:00:44,980","00:00:49,160",i sungane teukbyeolhan haengbogeul notchiji ma,Tzuyu,,4.18
"00:00:49,240","00:00:53,000","One, two, three, let's go jeo uju wiro",Mina,,3.76
"00:00:53,080","00:00:57,380",naragal deut chumchureo ga hey Let's dance the night away,Mina,,4.3
"00:00:59,660","00:01:02,260",Let's dance the night away,Chaeyoung,,2.6
"00:01:04,080","00:01:05,160",Yeah~,Jihyo,,1.08
"00:01:05,300","00:01:11,900","One, two, three, let's go jeo bada geonneo deullil deut sori jilleo",Jihyo,,6.6
"00:01:12,000","00:01:13,480",Let's dance the night away,Jihyo,,1.48
"00:01:13,380","00:01:17,380","Dance the night away, lets dance the night away",Dahyun,,8.12
"00:01:17,380","00:01:21,380","Dance the night away, lets dance the night away",Chaeyoung,,
"00:01:21,720","00:01:29,520",You and me in this cool night miso jinneun banjjok dal,Sana,,7.8
"00:01:29,560","00:01:37,940","geu eonjenga neowa na jeo dal dwinmyeoneuro ga patireul yeolgiro yaksok Yeah, it's good",Tzuyu,,8.38
"00:01:37,960","00:01:41,980",If you wanna have some fun eunppit moraealcheoreom,Mina,,4.02
"00:01:42,020","00:01:46,020",i sungane teukbyeolhan haengbogeul notchiji ma,Mina,,4
"00:01:46,140","00:01:52,640","One, two, three, let's go jeo uju wiro naragal deut chumchureo ga Hey ",Nayeon,,6.5
"00:01:52,680","00:01:54,480",Let's dance the night away,Nayeon,,1.8
"00:01:56,620","00:01:59,040",Let's dance the night away,Momo,,2.42
"00:02:01,200","00:02:09,140","One, two, three, let's go jeo bada geonneo deullil deut sori jilleo",Jeongyeon,,7.94
"00:02:09,199","00:02:10,719",Let's dance the night away,Jeongyeon,,1.52
"00:02:10,759","00:02:18,680",oneuri majimagin deut sori jilleo jeo meolli kkeudeopshi naraoreul deut himkkeot ttwieo deo nopi,Dahyun,,7.921
"00:02:18,700","00:02:22,620",oneuri majimagin deut sori jilleo jeo meolli,Mina,,3.92
"00:02:22,660","00:02:25,300",ssodajineun byeolppitgwa,Momo,,2.64
"00:02:25,360","00:02:27,820",Let's dance the night away,Momo,Nayeon,2.46
"00:02:30,020","00:02:31,780",Let's dance the night away,Mina,,1.76
"00:02:33,960","00:02:35,080",Yeah~,Jihyo,,1.12
"00:02:35,100","00:02:41,360","One, two, three, let's go jeo bada geonneo deullil deut sori jilleo",Jihyo,,6.26
"00:02:41,400","00:02:43,400",Let's dance the night away,Jihyo,,2
"00:02:44,200","00:02:49,800",Yeah~,Jihyo,,
"00:02:49,800","00:02:57,720",Let's dance the night away (4x),Nayeon,Jihyo,7.92
"00:02:57,820","00:03:00,480",Let's dance the night away,Chaeyoung,,2.66
