start_time,end_time,lyric,vocal1,vocal2,duration
"00:00:14,020","00:00:18,040",jigeum haneul gureum saegeun Tropical yeah,Nayeon,,4.02
"00:00:18,040","00:00:21,620",jeo taeyang ppalganbit ne du bol gatae,Nayeon,,3.58
"00:00:21,620","00:00:25,080","Oh, tell me I'm the only one babe",Mina,,3.46
"00:00:25,080","00:00:29,220","I fancy you, I fancy you. (TWICE!)",Mina,ALL,4.14
"00:00:29,220","00:00:32,720",It’s dangerous ttakkeumhae neon jangmi gata,Jeongyeon,,3.5
"00:00:32,720","00:00:36,120",gwaenchana jogeumdo nan geomnaji ana,Jeongyeon,,3.4
"00:00:36,120","00:00:39,460",deo sege kkok jaba Take my hand,Momo,,3.34
"00:00:39,460","00:00:43,660",jom wiheomhal geoya deo wiheomhal geoya Baby,Momo,,4.2
"00:00:43,660","00:00:47,040",dalkomhan chokollit aiseukeurimcheoreom,Sana,,3.38
"00:00:47,040","00:00:51,000",nogabeorineun jigeum nae gibun So lovely,Sana,,3.96
"00:00:51,000","00:00:54,680",kkamkkamhan uju sok gajang banjjagineun,Tzuyu,,3.68
"00:00:54,680","00:00:57,760",jeo byeol jeo byeol geu yeope keun ne byeol,Tzuyu,,3.08
"00:00:57,760","00:01:02,940",geogi neo I fancy you amuna weonhaji ana,Nayeon,,5.18
"00:01:02,940","00:01:04,840",Hey I love you!,Nayeon,,1.9
"00:01:04,840","00:01:05,519",(LOVE YA!),ALL,,0.679
"00:01:05,519","00:01:09,980",geurae neo I fancy you kkumcheoreom haengbokaedo dwae,Jihyo,,4.461
"00:01:09,980","00:01:12,300",'Cause I need you,Jihyo,,2.32
"00:01:12,540","00:01:12,900",(What?),Dahyun,,0.36
"00:01:13,040","00:01:14,500",Fancy,Chaeyoung,,7
"00:01:14,500","00:01:16,907",you~,Nayeon,,
"00:01:16,907","00:01:20,040",nuga meonjeo joahamyeon eottae,Jeongyeon,,
"00:01:20,040","00:01:21,500",Fancy,Chaeyoung,,6.12
"00:01:21,500","00:01:24,234",you~,Nayeon,,
"00:01:24,234","00:01:26,160",jigeum neoegero gallae,Momo,,
"00:01:26,160","00:01:27,680","Fancy, ooh",Chaeyoung,,1.52
"00:01:27,720","00:01:30,640",maeilmaeil nan jeongmal amugeotto motane,Dahyun,,2.92
"00:01:30,640","00:01:34,720", Oh my Mayday ireoda keunil nael geot gateunde,Dahyun,,4.08
"00:01:34,720","00:01:38,200",Bang bang meoriga hollin deut Reset-i dwae,Chaeyoung,,3.48
