start_time,end_time,lyric,vocal1,vocal2,duration,member
"00:00:01,180","00:00:04,080",yeah yeah yeah yeah yeah,ALL,,2.9,
"00:00:04,220","00:00:07,300",Come and be my love Come and be my love baby,Chaeyoung,,3.08,
"00:00:07,340","00:00:09,700",yeah yeah yeah yeah yeah,ALL,,2.36,
"00:00:09,780","00:00:13,040",Come and be my love Come and be my love baby,Dahyun,,3.26,
"00:00:13,160","00:00:16,040",meonghani seoseo mak gomingomin hae,Nayeon,,2.88,
"00:00:16,140","00:00:19,220", na igeo jinjja jalhaneun jishinji,Nayeon,,3.08,
"00:00:19,320","00:00:21,320",yeah yeah yeah yeah,Jeongyeon,,2,
"00:00:21,340","00:00:21,840",mweo eottae,Tzuyu,,0.5,
"00:00:21,920","00:00:23,560",No no no no,Momo,,1.64,
"00:00:23,640","00:00:24,140",micheosseo,Mina,,0.5,
"00:00:24,180","00:00:25,620",nan jjeuwirago hae,Tzuyu,,1.44,
"00:00:25,700","00:00:27,380",mujakjeong insahalkka,Mina,,1.68,
"00:00:27,440","00:00:28,540",nae jeonhwabeonhoya,Sana,,1.1,
"00:00:28,580","00:00:30,580",jjokjil jugo domangchilkka,Mina,,2,
"00:00:30,640","00:00:32,640",yeah yeah yeah yeah,Jeongyeon,,2,
"00:00:32,700","00:00:33,240",eotteokae,Sana,,0.54,
"00:00:33,340","00:00:35,260",No no no no,Momo,,1.92,
"00:00:35,340","00:00:36,700",jigeumiya,Tzuyu,,1.36,
"00:00:36,800","00:00:37,940",Girl you can do it,Chaeyoung,,1.14,
"00:00:38,020","00:00:39,680",nuni majuchigo itjana,Tzuyu,,1.66,
"00:00:39,720","00:00:40,820",Love is timing,Dahyun,,1.1,
"00:00:40,880","00:00:42,460",notchimyeon huhwehaljji molla,Mina,,1.58,
"00:00:42,540","00:00:44,940",love is coming coming jomman deo yonggireul nae,Dahyun,Chaeyoung,2.4,
"00:00:45,060","00:00:47,060",deoneun mangseoriji ma,Jihyo,,2,
"00:00:47,200","00:00:53,240",isanghage saenggakaedo  eojjeol su eopseo banhaesseunikka,Nayeon,,6.04,
"00:00:53,320","00:00:55,320","You’re my heart shaker, shaker",Tzuyu,,2,
"00:00:55,420","00:00:56,520",notchigi shireo,Sana,,1.1,
"00:00:56,560","00:00:57,940","You’re my heart shaker, shaker",Tzuyu,,1.38,
"00:00:58,000","00:00:58,660",eotteokae,Momo,,0.66,
"00:00:58,760","00:01:04,920",babocheoreom an gidaryeo  naega malhallae banhaebeoryeottago,Nayeon,,6.16,
"00:01:05,000","00:01:08,920",niga mame deundago  haru jongil bogo shipdago,Jihyo,,3.92,
"00:01:08,940","00:01:11,680", Would you be my love,Jihyo,,2.74,
"00:01:11,780","00:01:13,440",banhaebeoryeosseunikka,Sana,,1.66,
"00:01:15,760","00:01:18,960",pyojeonggwalli hae eosaekaji anke,Jeongyeon,,3.2,
"00:01:19,080","00:01:21,880", maltuneun Cool cool  ginjanghal piryo eopseo,Jeongyeon,,2.8,
"00:01:21,920","00:01:23,120",yeah yeah yeah yeah,Tzuyu,,1.2,
"00:01:23,240","00:01:24,840",jeongshin bajjak charigo jipjunghae,Chaeyoung,,1.6,
"00:01:24,900","00:01:26,100",No no no no,Momo,,1.2,
"00:01:26,200","00:01:27,760",eotteokae ttokbaro mot bogesseo,Dahyun,,1.76,
"00:01:27,000","00:01:27,960",jigeumiya,Tzuyu,,,
"00:01:28,000","00:01:28,860",Girl you can do it,Chaeyoung,,0.86,
"00:01:28,940","00:01:30,640",nuni majuchigo itjana,Tzuyu,,1.7,
"00:01:30,700","00:01:31,820",Love is timing,Dahyun,,1.12,
"00:01:31,880","00:01:33,340",notchimyeon huhwehaljji molla,Mina,,1.46,
"00:01:33,380","00:01:36,100",love is coming coming jomman deo yonggireul nae,Dahyun,Chaeyoung,2.72,
"00:01:36,240","00:01:38,000",deoneun mangseoriji ma,Jihyo,,1.76,
"00:01:38,060","00:01:44,020",isanghage saenggakaedo  eojjeol su eopseo banhaesseunikka,Nayeon,,5.96,
"00:01:44,560","00:01:46,280","You’re my heart shaker, shaker",Tzuyu,,1.72,
"00:01:46,400","00:01:47,460",notchigi shireo,Sana,,1.06,
"00:01:47,540","00:01:49,260","You’re my heart shaker, shaker",Tzuyu,,1.72,
"00:01:49,400","00:01:50,000",eotteokae,Momo,,0.6,
"00:01:50,040","00:01:56,060",babocheoreom an gidaryeo  naega malhallae banhaebeoryeottago,Nayeon,,6.02,
"00:01:56,160","00:02:00,200",niga mame deundago  haru jongil bogo shipdago,Jihyo,,4.04,
"00:02:00,300","00:02:02,300", Would you be my love,Jihyo,,2,
"00:02:02,400","00:02:04,400",banhaebeoryeosseunikka,Sana,,2,
"00:02:04,440","00:02:10,740",neodo nal weonhage dwel kkeoya  nal saranghage dwel kkeol,Mina,,6.3,
"00:02:10,880","00:02:15,520",ganjeolhi bara neodo  nawa gatgireul Oh yeah,Jihyo,,4.64,
"00:02:15,560","00:02:17,120",oh yeah,Jihyo,,1.56,
"00:02:17,180","00:02:19,860",mangseoriji ma meonjeo dagaga,Momo,,2.68,
"00:02:19,860","00:02:23,000",sarangeul malhae jujeo haji ma,Tzuyu,,3.08,
"00:02:23,100","00:02:25,860","Come baby, be my, be my, be my love",Chaeyoung,,2.76,
"00:02:25,960","00:02:27,840","Come baby, bae, bae, bae, bae",Momo,,1.88,
