start_time,end_time,lyric,vocal1,vocal2,duration
"00:00:01,460","00:00:03,780",I know I want it,Nayeon,,2.32
"00:00:04,220","00:00:08,240",ibe bareun sorin ije geumanhalge,Nayeon,,4.02
"00:00:08,500","00:00:10,780",Cause I deserve it deserve it,Nayeon,,2.28
"00:00:10,920","00:00:17,240",hokshi jamkkan naega miweojideorado geokjeong an halge,Mina,,6.32
"00:00:17,580","00:00:19,740",Cause I know you I know you,Mina,,2.16
"00:00:20,220","00:00:22,000",nae nuneul jakku pihaebwa,Tzuyu,,1.78
"00:00:22,300","00:00:24,280",ne mameul jakku sumgyeobwa,Tzuyu,,1.98
"00:00:24,580","00:00:28,920",naegeseo domangchyeobwa No no,Tzuyu,,4.34
"00:00:29,240","00:00:30,880",gamatteon nuneul tteosseul ttae,Momo,,1.64
"00:00:31,360","00:00:33,400",mundeuk naega tteooreul ttae,Momo,,2.04
"00:00:33,880","00:00:37,100",You are gonna be mine again,Momo,,3.22
"00:00:37,600","00:00:41,620",You’re gonna say more more more more more and more,Sana,,4.02
"00:00:42,060","00:00:45,080",meomchuji mothae More more more and more,Dahyun,,3.02
"00:00:45,400","00:00:46,300",geureoni han beon deo,Chaeyoung,,0.9
"00:00:46,420","00:00:50,640",I wanna have more more more more more and more,Jihyo,,4.22
"00:00:50,960","00:00:53,940",meomchugi shireo More more more and more,Jeongyeon,,2.98
"00:00:54,120","00:00:55,440",geureoni han beon deo,Nayeon,,1.32
"00:00:58,740","00:01:00,540",meomchujireul mothae,Dahyun,,1.8
"00:01:00,880","00:01:02,140",More and More,ALL,,1.26
"00:01:03,180","00:01:04,800",geureoni han beon deo,Tzuyu,,1.62
"00:01:07,600","00:01:09,380",meomchugiga shireo,Mina,,1.78
"00:01:09,960","00:01:11,100",More and More,ALL,,1.14
"00:01:12,060","00:01:13,220",geureoni han beon deo,Momo,,1.16
"00:01:13,640","00:01:15,240",Do you feel me,Jeongyeon,,1.6
"00:01:15,680","00:01:20,060",niga nal wihan saramirago minni,Jeongyeon,,4.38
"00:01:20,520","00:01:22,340",Only for me only for me,Jeongyeon,,1.82
"00:01:22,800","00:01:28,640",ganjireoun mareun gudi haji anado neon,Chaeyoung,,5.84
"00:01:29,120","00:01:31,700",Cause you know me you know me,Chaeyoung,,2.58
"00:01:32,200","00:01:33,980",ne gwireul jakku magado,Sana,,1.78
"00:01:34,460","00:01:36,120",nareul meolli mireonaedo,Sana,,1.66
"00:01:36,520","00:01:40,860",naegeseo meoreojyeodo,Sana,Mina,4.34
"00:01:41,200","00:01:42,900",naega dashi neol bureumyeon,Jihyo,,1.7
"00:01:43,160","00:01:45,120",naye moksoril deureumyeon,Jihyo,,1.96
"00:01:45,600","00:01:49,020",You are gonna be mine again Yeah han beon deo,Jihyo,,3.42
"00:01:49,300","00:01:53,460",You’re gonna say more more more more more and more,Sana,,4.16
"00:01:53,740","00:01:56,880",meomchuji mothae More more more and more,Dahyun,,3.14
"00:01:57,080","00:01:58,180",geureoni han beon deo,Chaeyoung,,1.1
"00:01:58,240","00:02:02,380",I wanna have more more more more more and more,Jihyo,,4.14
"00:02:02,760","00:02:05,880",meomchugi shireo More more more and more,Jeongyeon,,3.12
"00:02:06,040","00:02:07,140",geureoni han beon deo,Nayeon,,1.1
"00:02:10,440","00:02:12,120",meomchujireul mothae,Dahyun,,1.68
"00:02:12,580","00:02:14,280",More and More,ALL,,1.7
"00:02:14,980","00:02:16,520",geureoni han beon deo,Tzuyu,,1.54
"00:02:19,400","00:02:21,020",meomchugiga shireo,Mina,,1.62
"00:02:21,500","00:02:22,780",More and More,ALL,,1.28
"00:02:23,940","00:02:25,140",geureoni han beon deo,Momo,,1.2
"00:02:43,760","00:02:45,900",nan weollae yokshimjaengi mollattamyeon mian,Dahyun,,2.14
"00:02:46,280","00:02:48,320",sagwaneun miri halge Cuz I want you more more,Dahyun,,2.04
"00:02:48,500","00:02:52,780",uigyeoneun piryo eopseo humchil geoya ne mam naege hollige dwelgeol You can’t say no no,Dahyun,,4.28
"00:02:53,140","00:02:57,160",nan dodukgoyangi oneulmaneun neol kkok jabeureo wasseunikka ttak gidaryeo neo,Chaeyoung,,4.02
"00:02:57,420","00:02:59,560",meolli gaji malgo dashi naege Come come,Chaeyoung,,2.14
"00:03:00,040","00:03:01,320",Yeah han beon deo,Nayeon,,1.28
"00:03:04,280","00:03:05,800",meomchujireul mothae ,Dahyun,Nayeon,1.52
"00:03:05,980","00:03:08,480",More and More,ALL,,2.5
"00:03:08,840","00:03:10,040",geureoni han beon deo ,Tzuyu,Nayeon,1.2
"00:03:13,220","00:03:15,220",meomchugiga shireo ,Mina,Nayeon,2
"00:03:15,460","00:03:17,100",More and More,ALL,,1.64
"00:03:17,740","00:03:19,080",geureoni han beon deo ,Nayeon,,1.34
