start_time,end_time,lyric,vocal1,vocal2,duration
"00:00:17,500","00:00:19,060",ireojido motaneunde,Nayeon,,1.56
"00:00:19,660","00:00:21,460",jeoreojido motane,Nayeon,,1.8
"00:00:21,620","00:00:24,400",geujeo barabomyeo Ba-ba-ba-baby,Nayeon,,2.78
"00:00:25,100","00:00:27,160",maeil sangsangman hae ireumgwa hamkke,Mina,,2.06
"00:00:27,160","00:00:29,360",sseuk mareul nwanne Baby,Mina,,2.2
"00:00:29,480","00:00:31,880",ajik urin moreuneun sainde,Mina,,2.4
"00:00:31,880","00:00:34,660",amugeona geolcheodo areumdaweo,Tzuyu,,2.78
"00:00:34,920","00:00:38,580",geoul sok dan duriseo haneun Fashion show show,Mina,,3.66
"00:00:38,920","00:00:42,800",ibeonen jeongmal kkokkok naega meonjeo Talk talk,Jihyo,,3.88
"00:00:42,840","00:00:46,200",dajim ppunin geol maebeon dajim ppunin geol,Tzuyu,,3.36
"00:00:46,540","00:00:52,700",Nanana nananana konnoraega naodaga nado mollae,Sana,,6.16
"00:00:52,760","00:00:58,160",nunmul nal kkeot gatae anin geot gatae naega anin geot gatae ireon aega aninde,Momo,,5.4
"00:00:58,300","00:01:00,120",I love you so much,ALL,,1.82
"00:01:00,560","00:01:03,520",imi nan da keottago saenggakaneunde,Nayeon,,2.96
"00:01:04,180","00:01:06,200",eojjeomyeon nae maminde wae,Nayeon,,2.02
"00:01:06,260","00:01:09,160",nae mamdaero hal su eomneun geonde,Nayeon,,2.9
"00:01:09,640","00:01:12,360",mireonaeryeogo hamyeon halsurok,Jihyo,,2.72
"00:01:12,360","00:01:15,620",jakku kkeullyeo wae jakku jakku kkeullyeo Baby,Jihyo,,3.26
"00:01:15,620","00:01:19,180",I'm like TT just like TT,ALL,,3.56
"00:01:19,700","00:01:22,940",ireon nae mam moreugo neomuhae neomuhae,Dahyun,,3.24
"00:01:22,940","00:01:26,920",I'm like TT just like TT,ALL,,3.98
"00:01:27,080","00:01:30,740",Tell me that you’d be my baby,Jihyo,,3.66
"00:01:31,740","00:01:33,360",eocheoguni eopttago hae,Jeongyeon,,1.62
"00:01:33,360","00:01:35,420",eolgul gapseul motandae,Jeongyeon,,2.06
"00:01:35,540","00:01:38,240",jeonhyeo wiro andwae Ba-ba-ba-baby,Jeongyeon,,2.7
"00:01:39,020","00:01:42,740",michil kkeot gatae i wajunge wae baeneun tto gopeun geonde,Jihyo,,3.72
"00:01:43,260","00:01:45,980",haru jongil meokkiman haneunde,Jihyo,,2.72
"00:01:45,980","00:01:48,840",maemmaemaemae amu joedo eomneun,Chaeyoung,,2.86
"00:01:48,980","00:01:52,460",inhyeongman ttaejji,Dahyun,,3.48
"00:01:52,460","00:01:54,320",pibuneun wae ireoke tto chikchik,Chaeyoung,,1.86
"00:01:54,320","00:01:56,200",tahan ainult kurta,Dahyun,,1.88
"00:01:56,200","00:02:00,460",ema gwichange gyesok waewaewaewaewae,Chaeyoung,Dahyun,4.26
"00:02:00,660","00:02:06,740",Nanana nananana konnoraega naodaga nado mollae,Sana,,6.08
"00:02:06,800","00:02:09,440",nunmul nal kkeot gatae anin geot gatae ,Momo,,2.64
"00:02:09,560","00:02:12,220", ireon aega aninde,Momo,,2.66
"00:02:12,200","00:02:14,020",I love you so much,ALL,,1.62
"00:02:14,520","00:02:17,220",imi nan da keottago saenggakaneunde,Nayeon,,2.7
"00:02:18,240","00:02:20,180",eojjeomyeon nae maminde wae,Nayeon,,1.94
"00:02:20,180","00:02:23,060",nae mamdaero hal su eomneun geonde,Nayeon,,2.88
"00:02:23,360","00:02:26,260",mireonaeryeogo hamyeon halsurok,Jihyo,,2.9
"00:02:26,260","00:02:29,340",jakku kkeullyeo wae jakku jakku kkeullyeo Baby,Jihyo,,3.08
"00:02:29,340","00:02:32,720",I'm like TT just like TT,ALL,,3.38
"00:02:33,560","00:02:36,540",ireon nae mam moreugo neomuhae neomuhae,Dahyun,,2.98
"00:02:36,540","00:02:40,880",I'm like TT just like TT,ALL,,4.34
"00:02:40,880","00:02:43,640",Tell me that you’d be my baby,Jihyo,,2.76
"00:02:44,700","00:02:47,780",hokshi ireon nareul alkkayo,Tzuyu,,2.88
"00:02:47,680","00:02:51,260",idaero sarajeo beorimyeon andwaeyo,Mina,,3.38
"00:02:51,780","00:02:56,020",ibeonen jeongmal kkokkok naega meonjeo Talk talk,Jihyo,,4.24
"00:02:56,080","00:03:00,700",dajim ppunin geol maebeon dajim ppunin geol,Jihyo,,4.62
"00:03:00,720","00:03:03,700",imi nan da keottago saenggakaneunde,Mina,Nayeon,2.98
"00:03:04,320","00:03:06,100",eojjeomyeon nae maminde wae,Mina,,1.78
"00:03:06,100","00:03:09,240",nae mamdaero hal su eomneun geonde,Mina,Nayeon,3.14
"00:03:09,440","00:03:12,220",mireonaeryeogo hamyeon halsurok,Jeongyeon,Jihyo,2.78
"00:03:12,220","00:03:15,900",jakku kkeullyeo wae jakku jakku kkeullyeo Baby,Jeongyeon,,3.68
"00:03:15,980","00:03:18,680",I'm like TT just like TT,ALL,Jihyo,2.7
"00:03:19,420","00:03:22,920",ireon nae mam moreugo neomuhae neomuhae,Dahyun,Jihyo,3.5
"00:03:22,920","00:03:27,180",I'm like TT just like TT,ALL,Jihyo,4.26
"00:03:27,180","00:03:30,500",Tell me that you’d be my baby,Jihyo,,3.32
