start_time,end_time,lyric,vocal1,vocal2,duration,member
"00:00:02,680","00:00:03,460",TWICE!,ALL,,0.78,
"00:00:07,080","00:00:08,640",What is love,ALL,,1.56,
"00:00:11,360","00:00:13,800",maeilgachi yeonghwa sogeseona,Nayeon,,2.44,
"00:00:13,800","00:00:17,860",chaek sogeseona deurama sogeseo sarangeul neukkyeo,Nayeon,,4.06,
"00:00:17,960","00:00:19,060",Mmm ,Nayeon,,1.1,
"00:00:19,060","00:00:21,920",sarangeul baeweo,Nayeon,,2.86,
"00:00:22,840","00:00:25,060",nae ilcheoreom jakku gaseumi ttwieo,Jeongyeon,,2.22,
"00:00:25,120","00:00:29,200",dugeundugeungeoryeo seolleime bupureo olla,Jeongyeon,,4.08,
"00:00:29,560","00:00:30,360",Mmm ,Jeongyeon,,0.8,
"00:00:30,580","00:00:33,740",gunggeumhaeseo michil geonman gata,Jeongyeon,,3.16,
"00:00:34,240","00:00:39,220",Ooh eonjengan naegedo ireon iri shiljero ireonalkka,Mina,,4.98,
"00:00:40,800","00:00:44,420",geuge eonjejjeumilkka? eotteon saramilkka?,Chaeyoung,,3.62,
"00:00:44,420","00:00:45,320",I wanna know,ALL,,0.9,
"00:00:45,320","00:00:47,540",satangcheoreom dalkomhadaneunde,Sana,,2.22,
"00:00:47,540","00:00:48,140",I wanna know,ALL,,0.6,
"00:00:48,140","00:00:50,380",haneureul naneun geot gattaneunde,Sana,,2.24,
"00:00:50,380","00:00:52,440",I wanna know know know know,ALL,,2.06,
"00:00:52,440","00:00:53,220",What is love,ALL,,0.78,
"00:00:53,220","00:00:55,840",sarangi eotteon neukkiminji,Sana,,2.62,
"00:00:55,840","00:00:56,800",I wanna know,ALL,,0.96,
"00:00:56,800","00:00:58,660",haru jongil utgo ittaneunde,Tzuyu,,1.86,
"00:00:58,660","00:00:59,520",I wanna know,ALL,,0.86,
"00:00:59,520","00:01:01,480",sesangi da areumdapdaneunde,Tzuyu,,1.96,
"00:01:01,480","00:01:03,560",I wanna know know know know,ALL,,2.08,
"00:01:03,560","00:01:04,500",What is love,ALL,,0.94,
"00:01:04,519","00:01:07,760",eonjengan naegedo sarangi olkka,Tzuyu,,3.241,
"00:01:07,760","00:01:10,160",jigeum ireon sangsangmaneurodo,Jihyo,,2.4,
"00:01:10,160","00:01:11,520",tteoollyeoman bwado ,Jihyo,,1.36,
"00:01:11,520","00:01:14,320",gaseumi teojil geot gateunde,Jihyo,,2.8,
"00:01:14,480","00:01:15,760",um...........,Jihyo,,1.28,
"00:01:15,760","00:01:17,540",ireoke joeunde,Jihyo,,1.78,
"00:01:19,300","00:01:21,700",manil eonjenga jinjjaro naege,Momo,,2.4,
"00:01:21,700","00:01:22,960",sarangi ol ttae ,Momo,,1.26,
"00:01:22,960","00:01:25,460",nan ureobeoriljido molla,Momo,,2.5,
"00:01:26,060","00:01:27,040",um.........,Momo,,0.98,
"00:01:27,080","00:01:30,460", jeongmal gunggeumhae michil geonman gata,Momo,,3.38,
"00:01:30,860","00:01:35,680",Ooh eonjengan naegedo ireon iri shiljero ireonalkka,Mina,,4.82,
"00:01:36,920","00:01:40,580",geuge eonjejjeumilkka? eotteon saramilkka?,Dahyun,,3.66,
"00:01:41,220","00:01:41,980",I wanna know,ALL,,0.76,
"00:01:41,980","00:01:43,840",satangcheoreom dalkomhadaneunde,Sana,,1.86,
"00:01:43,840","00:01:44,640",I wanna know,ALL,,0.8,
"00:01:44,660","00:01:46,760",haneureul naneun geot gattaneunde,Sana,,2.1,
"00:01:46,760","00:01:48,800",I wanna know know know know,ALL,,2.04,
"00:01:48,800","00:01:49,640",What is love,ALL,,0.84,
"00:01:49,640","00:01:52,260",sarangi eotteon neukkiminji,Sana,,2.62,
"00:01:52,260","00:01:53,180",I wanna know,ALL,,0.92,
"00:01:53,180","00:01:55,120",haru jongil utgo ittaneunde,Tzuyu,,1.94,
"00:01:55,120","00:01:56,060",I wanna know,ALL,,0.94,
"00:01:56,060","00:01:57,940",sesangi da areumdapdaneunde,Tzuyu,,1.88,
"00:01:57,940","00:02:00,160",I wanna know know know know,ALL,,2.22,
"00:02:00,160","00:02:01,020",What is love,ALL,,0.86,
"00:02:01,020","00:02:04,480",eonjengan naegedo sarangi olkka,Tzuyu,,3.46,
