start_time,end_time,lyric,duration,member
"00:00:16,140","00:00:18,080",Como un excavadora,1.94,
"00:00:18,700","00:00:21,040","Como un tanque, como un soldado",2.34,
"00:00:21,400","00:00:22,560","(Vamos, Vamos)",1.16,
"00:00:23,140","00:00:29,760","lo romperé así que guárdalo, tomaré todo de tu corazón",6.62,
"00:00:30,640","00:00:37,140",Este tipo de sentimiento fue el primer incidente importante,6.5,
"00:00:37,500","00:00:43,200","Tan pronto como te encuentre, No me detendré",5.7,
"00:00:43,220","00:00:43,960",(oh no),0.74,
"00:00:44,500","00:00:45,960","El corazón está estallando,",1.46,
"00:00:46,280","00:00:47,840",la velocidad está sonando.,1.56,
"00:00:48,020","00:00:50,500",sucederá rápidamente,2.48,
"00:00:51,380","00:00:57,400","Mi corazón late muy rápido, esta es la primera vez. Qué debería hacer, mi amor?",6.02,
"00:00:58,020","00:00:59,760",Como un excavadora,1.74,
"00:01:00,540","00:01:02,760","Como un tanque, como un soldado",2.22,
"00:01:03,220","00:01:04,160","(Vamos, Vamos)",0.94,
"00:01:04,840","00:01:11,440","lo romperé así que guárdalo, tomaré todo de tu corazón",6.6,
"00:01:12,020","00:01:13,760","Me gustas,",1.74,
"00:01:14,480","00:01:16,620",Eres mi favorito absoluto,2.14,
"00:01:17,080","00:01:18,280","(Vamos, Vamos)",1.2,
"00:01:18,640","00:01:25,400","Todos mis sentimientos son enormes, desearía poder confesarte",6.76,
"00:01:27,980","00:01:34,480",“Digámosnos a través de mensajes de texto y correos electrónicos” No!,6.5,
"00:01:34,940","00:01:41,340","Cara a cara, junto con palabras y sonrisas, muy bien Oh oh",6.4,
"00:01:41,960","00:01:48,000","Sé qué, yo diría, podría decirte la cosa mas importante",6.04,
"00:01:48,940","00:01:54,720","Mi corazón late muy rápido ahora no puedo decir nada. Prepárate, ooh",5.78,
"00:01:55,280","00:01:57,120",Como un excavadora,1.84,
"00:01:57,880","00:02:00,120","Como un tanque, como un soldado",2.24,
"00:02:00,600","00:02:01,460","(Vamos, Vamos)",0.86,
"00:02:02,180","00:02:08,680","lo romperé así que guárdalo, tomaré todo de tu corazón",6.5,
"00:02:09,280","00:02:11,080","Me gustas,",1.8,
"00:02:11,860","00:02:13,940",Eres mi favorito absoluto,2.08,
"00:02:14,580","00:02:15,700","(Vamos, Vamos)",1.12,
"00:02:16,060","00:02:22,660","Todos mis sentimientos son enormes, desearía poder confesarte",6.6,
"00:02:25,200","00:02:30,920","Choque, boom boom boom, a tu corazón, zoom zoom zoom",5.72,
"00:02:31,320","00:02:38,560","Ese guardia es, apretado, es como un acero. Forzando un objetivo, hazlo creer",7.24,
"00:02:39,060","00:02:40,800",Como un excavadora,1.74,
"00:02:41,680","00:02:43,860","Como un tanque, como un soldado",2.18,
"00:02:44,320","00:02:45,460","(Vamos, Vamos)",1.14,
"00:02:45,960","00:02:52,460","Modo de batalla para uno o más, el estado de ánimo que ha sido aliviado por 2 personas",6.5,
"00:02:53,040","00:02:54,840","Finalmente,",1.8,
"00:02:55,760","00:02:57,780",Estoy seguro de que eres mi destino,2.02,
"00:02:58,240","00:02:59,420","(Vamos, Vamos)",1.18,
"00:02:59,840","00:03:06,500","Si no soportas los remordimientos, ahora los golpearé",6.66,
