start_time,end_time,lyric,duration,member
"00:00:09,100","00:00:12,480",This unwavering feeling of dreamin’,3.38,
"00:00:13,120","00:00:17,400",Motivates me all the time,4.28,
"00:00:17,400","00:00:21,120",Heading for an ideal future,3.72,
"00:00:21,280","00:00:25,780",I’m prepared to overcome any obstacles,4.5,
"00:00:25,780","00:00:33,880",Time is infinite but you can never turn it back,8.1,
"00:00:33,880","00:00:42,960",This story of “Me” only happens once,9.08,
"00:00:42,960","00:00:48,320",No matter what people say,5.36,
"00:00:48,320","00:00:51,920","Say Say, Don't give up！",3.6,
"00:00:51,920","00:00:56,880",Till the day I can be proud of myself,4.96,
"00:00:56,880","00:01:00,800","Say Say, Don't give up！",3.92,
"00:01:00,800","00:01:03,140",Breakthrough Breakthrough,2.34,
"00:01:03,140","00:01:05,140",As time goes by,2.0,
"00:01:05,140","00:01:07,480",Breakthrough Breakthrough,2.34,
"00:01:07,480","00:01:09,480",I will grow,2.0,
"00:01:09,480","00:01:14,040",The world awaits for me to shine,4.56,
"00:01:14,040","00:01:17,960","Say Say, Don't give up！",3.92,
"00:01:17,960","00:01:26,120",Break Break Breakthrough...,8.16,
"00:01:26,120","00:01:28,560",Everybody Break Break Breakthrough,2.44,
"00:01:28,560","00:01:30,940",Cast aside all doubts and grow up,2.38,
"00:01:30,940","00:01:35,600",My heart links now to the future,4.66,
"00:01:35,600","00:01:39,880","Fight the weakness, gain strength through your heart",4.28,
"00:01:39,880","00:01:43,560","Break the limit baby, breakthrough Let go",3.68,
"00:01:43,560","00:01:51,060","Even if they compare me with others, I want to shout “me”",7.5,
"00:01:51,060","00:02:00,200",As long as I hold the milestone I aim for in my heart,9.14,
"00:02:00,200","00:02:05,480",Even in the tunnel with no light,5.28,
"00:02:05,480","00:02:09,020","Say Say, Don't give up！",3.54,
"00:02:09,020","00:02:14,180","Never look back, wanna keep moving on",5.16,
"00:02:14,180","00:02:17,920","Say Say, Don't give up！",3.74,
"00:02:17,920","00:02:20,300",Breakthrough Breakthrough,2.38,
"00:02:20,300","00:02:22,300",Continue to change,2.0,
"00:02:22,300","00:02:24,580",Breakthrough Breakthrough,2.28,
"00:02:24,580","00:02:26,580",With the times,2.0,
"00:02:26,580","00:02:31,220",Gonna offer a new world with my dreams,4.64,
"00:02:31,220","00:02:34,980","Say Say, Don't give up！",3.76,
"00:02:34,980","00:02:43,820","Ah, what motivates me now has no reason",8.84,
"00:02:43,820","00:02:51,860",just the drive for tomorrow,8.04,
"00:02:51,860","00:02:54,560",No matter what people say,2.7,
"00:02:54,560","00:02:56,880","Shake it off, I’m going my way",2.32,
"00:02:56,880","00:03:00,600","Say Say, Don't give up！",3.72,
"00:03:00,600","00:03:05,480",Till the day I can be proud of myself,4.88,
"00:03:05,480","00:03:09,340","Say Say, Don't give up！",3.86,
"00:03:09,340","00:03:11,760",Breakthrough Breakthrough,2.42,
"00:03:11,760","00:03:13,760",As time goes by,2.0,
"00:03:13,760","00:03:16,040",Breakthrough Breakthrough,2.28,
"00:03:16,040","00:03:18,340",I will grow,2.3,
"00:03:18,340","00:03:22,660",The world awaits for me to shine,4.32,
"00:03:22,660","00:03:26,540","Say Say, Don't give up！",3.88,
"00:03:26,540","00:03:34,720",Break Break Breakthrough...,8.18,
