start_time,end_time,lyric,duration,member
"00:00:22,931","00:00:24,911",Phone bell rings like every other day,1.98,
"00:00:24,911","00:00:26,866",Please give me a break,1.955,
"00:00:26,866","00:00:29,149",My battery’s running out,2.283,
"00:00:29,149","00:00:31,897",It keeps ringing and ringing,2.748,
"00:00:31,897","00:00:34,726",The phone might blow up any minute,2.829,
"00:00:34,726","00:00:37,143",He says I take his breath away,2.417,
"00:00:37,143","00:00:38,501",I get him all frustrated,1.358,
"00:00:38,501","00:00:41,104",I make his heart race why,2.603,
"00:00:41,104","00:00:43,530",He says I’m so pretty,2.426,
"00:00:43,530","00:00:45,059",Not that I’m bragging or anything,1.529,
"00:00:46,256","00:00:49,209","Oh, sorry for not answering",2.953,
"00:00:49,209","00:00:52,068",I was with my friend shy shy shy,2.859,
"00:00:52,068","00:00:54,740","Can’t see you right now, I’m sorry",2.672,
"00:00:54,740","00:00:57,016",I’ll call you later,2.276,
"00:00:57,016","00:00:59,629","Don’t urge me, it won’t take long",2.613,
"00:00:59,629","00:01:02,343",And I’ll let you call me baby,2.714,
"00:01:02,343","00:01:05,175","Now is not the time, it is too early",2.832,
"00:01:05,175","00:01:07,848",But show me a bit more,2.673,
"00:01:08,048","00:01:09,317",CHEER UP BABY,1.269,
"00:01:09,317","00:01:10,746",CHEER UP BABY,1.429,
"00:01:10,746","00:01:12,958",Give it a little more,2.212,
"00:01:12,958","00:01:15,913",A girl shouldn’t give her heart away so easily,2.955,
"00:01:15,913","00:01:19,162",That will make you want me more,3.249,
"00:01:19,162","00:01:24,050",I’ll pretend like I don’t care,4.888,
"00:01:24,050","00:01:27,032",So you don’t notice my feelings for you,2.982,
"00:01:27,032","00:01:29,473",just get it together and then baby,2.441,
"00:01:29,473","00:01:30,417",CHEER UP,0.944,
"00:01:31,683","00:01:34,382",I can just hear your anxious voice,2.699,
"00:01:34,382","00:01:37,094",I can just see your phone covered in sweat,2.712,
"00:01:37,094","00:01:39,983",Answering right away is no fun,2.889,
"00:01:39,983","00:01:42,711",I read your messages but ignore your calls,2.728,
"00:01:42,711","00:01:45,500",Uhh maybe I went too far boy,2.789,
"00:01:45,500","00:01:48,240",Worried I might tire out your patience,2.74,
"00:01:48,240","00:01:50,988","Uhh, but if I don’t, I might",2.748,
"00:01:50,988","00:01:53,623","Fall for you deeper, fall for you deeper",2.635,
"00:01:53,623","00:01:56,889","Oh, sorry I didn’t reply",3.266,
"00:01:56,889","00:01:59,602",I was with my friend shy shy shy,2.713,
"00:01:59,602","00:02:02,753","Can’t see you right now, I’m sorry",3.151,
"00:02:02,753","00:02:04,882",I’ll call you later,2.129,
"00:02:04,882","00:02:07,641","Don’t urge me, I’m not going anywhere",2.759,
"00:02:07,641","00:02:10,339",I will be your baby,2.698,
"00:02:10,339","00:02:13,242","Don’t be hasty, show some sincerity",2.903,
"00:02:13,242","00:02:15,917",I will wait for you,2.675,
"00:02:15,917","00:02:17,373",CHEER UP BABY,1.456,
"00:02:17,373","00:02:18,784",CHEER UP BABY,1.411,
"00:02:18,784","00:02:20,998",Give it a little more,2.214,
"00:02:20,998","00:02:23,845",A girl shouldn’t give her heart away so easily,2.847,
"00:02:23,845","00:02:27,091",That will make you want me more,3.246,
"00:02:27,091","00:02:32,055",I’ll pretend like I don’t care,4.964,
"00:02:32,055","00:02:35,008",So you don’t notice my feelings for you,2.953,
"00:02:35,008","00:02:37,474",just get it together and then baby,2.466,
"00:02:37,474","00:02:38,248",CHEER UP,0.774,
"00:02:39,312","00:02:43,150","I like you too, I’m afraid I might hurt you",3.838,
"00:02:43,150","00:02:51,739","But I hope you understand, I’m a girl after all",8.589,
"00:02:51,739","00:02:54,430",I’m afraid my feelings might show,2.691,
"00:02:54,430","00:02:57,202",Just come a little closer,2.772,
"00:02:57,202","00:02:59,004",It won’t be long,1.802,
"00:02:59,004","00:03:01,008",just get it together and then baby,2.004,
"00:03:01,008","00:03:01,727",CHEER UP,0.719,
"00:03:01,727","00:03:03,942","Be a man, a real man,",2.215,
"00:03:03,942","00:03:06,913",gotta see u love me like a real man,2.971,
"00:03:06,913","00:03:09,568","Be a man, a real man,",2.655,
"00:03:09,568","00:03:11,698",gotta see u love me like a real man,2.13,
"00:03:12,931","00:03:14,198",CHEER UP BABY,1.267,
"00:03:14,198","00:03:15,616",CHEER UP BABY,1.418,
"00:03:15,616","00:03:17,932",Give it a little more,2.316,
"00:03:17,932","00:03:20,672",A girl shouldn’t give her heart away so easily,2.74,
"00:03:20,672","00:03:23,959",That will make you want me more,3.287,
"00:03:23,959","00:03:28,942",I’ll pretend like I don’t care,4.983,
"00:03:28,942","00:03:31,841",So you don’t notice my feelings for you,2.899,
"00:03:31,841","00:03:34,350",just get it together and then baby,2.509,
"00:03:34,350","00:03:35,613",CHEER UP,1.263,
