start_time,end_time,lyric,duration,member
"00:00:13,369","00:00:18,204",I know there’s no point trying to change you,4.835,
"00:00:18,204","00:00:21,542","But unlike her, I am",3.338,
"00:00:21,542","00:00:25,650",not about to let go so easy (Never let go),4.108,
"00:00:25,650","00:00:28,888",You don't know me,3.238,
"00:00:28,888","00:00:32,316",L O V E or hatred,3.428,
"00:00:32,316","00:00:35,387",Instead of goodbye I wear an innocent smile,3.071,
"00:00:35,387","00:00:39,823",Today I wanna be in your arms again,4.436,
"00:00:39,823","00:00:41,458",As if I don’t know anything,1.635,
"00:00:41,458","00:00:43,140",Baby no more real love,1.682,
"00:00:43,140","00:00:44,759",I will stay by your side,1.619,
"00:00:44,759","00:00:46,702",Then in the end break your heart,1.943,
"00:00:46,702","00:00:48,398",Bad boy bad boy,1.696,
"00:00:48,398","00:00:49,609",yeah you really make me,1.211,
"00:00:49,609","00:00:53,764",a mad girl mad girl,4.155,
"00:00:53,764","00:00:56,999","I want you to cry, cry for me",3.235,
"00:00:56,999","00:01:00,386","Just like I cried, Cry for me",3.387,
"00:01:00,386","00:01:02,216",Make your rain fall,1.83,
"00:01:02,216","00:01:05,174",Cry for me but,2.958,
"00:01:05,174","00:01:06,148",Again,0.974,
"00:01:06,148","00:01:09,161",Little by little I fall for you,3.013,
"00:01:09,161","00:01:12,806",Love makes my mind give way,3.645,
"00:01:12,806","00:01:16,219",And I keep making reasons to forgive,3.413,
"00:01:16,219","00:01:17,326",I want you to,1.107,
"00:01:17,326","00:01:17,916",I want you to,0.59,
"00:01:17,916","00:01:18,778",I want you to,0.862,
"00:01:18,778","00:01:22,789",Cry for me,4.011,
"00:01:22,789","00:01:26,507",I don't know but I just can’t seem to hate you,3.718,
"00:01:26,507","00:01:31,631",Always defending you in front of my friends,5.124,
"00:01:31,631","00:01:35,954",Made a fool of myself,4.323,
"00:01:35,954","00:01:40,495",Why do you keep smiling at me,4.541,
"00:01:40,495","00:01:43,850",Just one tear is all it takes,3.355,
"00:01:43,850","00:01:49,231","Cry for me, let me please forgive you",5.381,
"00:01:49,231","00:01:50,890",As if I don’t know anything,1.659,
"00:01:50,890","00:01:52,539",Baby just like real love,1.649,
"00:01:52,539","00:01:54,259",It’s your last chance c’mon,1.72,
"00:01:54,259","00:01:56,294",Show me your true love,2.035,
"00:01:56,294","00:01:57,880",Bad boy bad boy,1.586,
"00:01:57,880","00:01:59,122",yeah you really make me,1.242,
"00:01:59,122","00:02:03,295",a sad girl sad girl,4.173,
"00:02:03,295","00:02:06,493","I want you to cry, cry for me",3.198,
"00:02:06,493","00:02:09,924","Just like I cried, Cry for me",3.431,
"00:02:09,924","00:02:11,506",Make your rain fall,1.582,
"00:02:11,506","00:02:14,738",Cry for me but,3.232,
"00:02:14,738","00:02:15,677",Again,0.939,
"00:02:15,677","00:02:18,590",Little by little I fall for you,2.913,
"00:02:18,590","00:02:22,358",Love makes my mind give way,3.768,
"00:02:22,358","00:02:25,577",And I keep making reasons to forgive,3.219,
"00:02:25,577","00:02:26,376",I want you to,0.799,
"00:02:26,376","00:02:27,242",I want you to,0.866,
"00:02:27,242","00:02:28,094",I want you to,0.852,
"00:02:28,094","00:02:29,646",Cry for me,1.552,
"00:02:29,646","00:02:32,974",Love is so toxic,3.328,
"00:02:32,974","00:02:36,290",It makes hatred melt away,3.316,
"00:02:36,290","00:02:43,088",I want you again by my side yeah yeah,6.798,
"00:02:43,088","00:02:46,378","I want you to cry, cry for me",3.29,
"00:02:46,378","00:02:49,684","Even if it’s just pretend, Cry for me",3.306,
"00:02:49,684","00:02:52,010",Make your rain fall,2.326,
"00:02:52,010","00:02:56,266",fall and fall now,4.256,
"00:02:56,266","00:02:59,473","I want you to cry, cry for me",3.207,
"00:02:59,473","00:03:02,911","Just like I cried, Cry for me",3.438,
"00:03:02,911","00:03:04,516",Make your rain fall,1.605,
"00:03:04,516","00:03:07,698",Cry for me but,3.182,
"00:03:07,698","00:03:08,658",Again,0.96,
"00:03:08,658","00:03:11,626",Little by little I fall for you,2.968,
"00:03:11,626","00:03:15,281",Love makes my mind give way,3.655,
"00:03:15,281","00:03:18,572",And I keep making reasons to forgive,3.291,
"00:03:18,572","00:03:19,360",I want you to,0.788,
"00:03:19,360","00:03:20,147",I want you to,0.787,
"00:03:20,147","00:03:21,046",I want you to,0.899,
"00:03:21,046","00:03:23,046",Die for me,2.0,
