start_time,end_time,lyric,duration,member
"00:00:00,395","00:00:01,395",Dance The Night Away -Subtitles Mostly By Luna Crystal123-,1.0,
"00:00:01,605","00:00:04,265",Nanananananana nanananana,2.66,
"00:00:04,265","00:00:06,265",Nanananananana nanananana,2.0,
"00:00:06,265","00:00:08,265",Nanananananana nanananana,2.0,
"00:00:08,515","00:00:11,985","You and me in the moonlight, ~ahh~",3.47,
"00:00:12,475","00:00:13,455",On this festive night of shining stars,0.98,
"00:00:13,455","00:00:16,215",On this festive night of shining stars,2.76,
"00:00:16,215","00:00:17,085",The moment we start dancing,0.87,
"00:00:17,085","00:00:18,695",The moment we start dancing,1.61,
"00:00:18,695","00:00:19,885","To the sound of the waves,",1.19,
"00:00:19,885","00:00:20,875","To the sound of the waves,",0.99,
"00:00:20,875","00:00:23,535",This feeling is just so right!,2.66,
"00:00:23,535","00:00:25,535","~Ahh~ Hello sea, play with us",2.0,
"00:00:25,555","00:00:27,625","Hello sea, play with us",2.07,
"00:00:27,625","00:00:28,655",~Ahh~,1.03,
"00:00:28,655","00:00:31,595","Hello wind, come on over",2.94,
"00:00:32,155","00:00:33,335","~Wow~ , Under the moonlight,",1.18,
"00:00:33,335","00:00:34,245","~Wow~ , Under the moonlight,",0.91,
"00:00:34,245","00:00:36,615","you and me and the world,",2.37,
"00:00:36,615","00:00:38,325","Together we party all night long, yeah it's good",1.71,
"00:00:38,325","00:00:40,555","Together we party all night long, yeah it's good",2.23,
"00:00:41,195","00:00:44,165",If you wanna have some fun!,2.97,
"00:00:44,165","00:00:47,035",Just like the salty air. Don't let go this special hapiness of every moment,2.87,
"00:00:47,495","00:00:49,705",Don't let go this special hapiness of every moment,2.21,
"00:00:49,705","00:00:50,945","One. Two. Three. Let's go!, Above the universe,",1.24,
"00:00:50,945","00:00:51,945","One. Two. Three. Let's go!, Above the universe,",1.0,
"00:00:51,945","00:00:52,855","One. Two. Three. Let's go!, Above the universe,",0.91,
"00:00:52,860","00:00:55,520","Dance like you're going to fly, hey, let's dance the night away!",2.66,
"00:00:55,520","00:00:56,020","Dance like you're going to fly, hey, let's dance the night away!",0.5,
"00:00:56,020","00:00:57,540","Dance like you're going to fly, hey, let's dance the night away!",1.52,
"00:00:58,020","00:00:59,920",,1.9,
"00:00:59,920","00:01:01,880",Lets Dance The Night Away!,1.96,
"00:01:04,099","00:01:05,379",Yeah yeah ehh,1.28,
"00:01:05,600","00:01:07,380","One, Two, Three,  Lets go!",1.78,
"00:01:07,680","00:01:09,380",Scream like it can be heard across the ocean!,1.7,
"00:01:09,380","00:01:11,380",Scream like it can be heard across the ocean!,2.0,
"00:01:11,780","00:01:13,380",Let's Dance The Night Away!,1.6,
"00:01:13,380","00:01:15,380","~Dance The Night Away, let's Dance The Night Away 2x~ (Woo!~)",2.0,
"00:01:15,380","00:01:17,380","~Dance The Night Away, let's Dance The Night Away 2x~ (~Woo!~)",2.0,
"00:01:17,380","00:01:19,380","~Dance The Night Away, let's Dance The Night Away 2x~",2.0,
"00:01:19,380","00:01:21,380","~Dance The Night Away, let's Dance The Night Away 2x~ (Let's dance the night away)",2.0,
"00:01:22,780","00:01:25,140","You and me in this cool night, (Ahh)",2.36,
"00:01:25,415","00:01:28,275",The half-moon is smiling!,2.86,
"00:01:28,480","00:01:29,620",(Ahh),1.14,
"00:01:29,760","00:01:33,200","Someday you and I will reach the moon's far side,",3.44,
"00:01:34,800","00:01:37,440","And promise to party, yeah it's good",2.64,
"00:01:38,100","00:01:41,380","If you wanna have some fun! Like the silver sand, this moment is special,",3.28,
"00:01:41,380","00:01:44,095","If you wanna have some fun! Like the silver sand, this moment is special,",2.715,
"00:01:44,095","00:01:44,895","Don't miss the pleasure of it,",0.8,
"00:01:44,895","00:01:46,425","Don't miss the pleasure of it,",1.53,
"00:01:46,425","00:01:47,925","One. Two. Three. Let's GO!,",1.5,
"00:01:47,925","00:01:48,925","Dance like we're flying to the top of the world, hey!",1.0,
"00:01:48,925","00:01:49,905","Dance like we're flying to the top of the world, hey!",0.98,
"00:01:49,905","00:01:50,905","Dance like we're flying to the top of the world, hey!",1.0,
"00:01:50,905","00:01:51,995","Dance like we're flying to the top of the world, hey!",1.09,
"00:01:51,995","00:01:52,995","Dance like we're flying to the top of the world, hey!",1.0,
"00:01:53,000","00:01:55,000",Let's dance the night away!,2.0,
"00:01:56,480","00:01:58,480",Let's dance the night away!,2.0,
"00:02:00,100","00:02:01,100",~~~~~~~~~,1.0,
"00:02:01,105","00:02:03,100","Yeah, One, two, three",1.995,
"00:02:03,105","00:02:05,105","let's go!, Scream like it can be heard across the ocean!",2.0,
"00:02:05,105","00:02:07,105","let's go!, Scream like it can be heard across the ocean",2.0,
"00:02:07,105","00:02:09,104","let's go!, Scream like it can be heard across the ocean (HEY)",1.999,
"00:02:09,104","00:02:10,899",Let's dance the night away!,1.795,
"00:02:10,900","00:02:14,220","Shout out loud like today is the last day,",3.32,
"00:02:14,375","00:02:16,775",Jump up high like soaring beyong limits,2.4,
"00:02:16,775","00:02:17,275",Jump up high like soaring beyong limits,0.5,
"00:02:17,275","00:02:18,275",Jump up high like soaring beyong limits,1.0,
"00:02:18,995","00:02:19,945",Shout out loud like today is the last day!,0.95,
"00:02:19,945","00:02:22,495",Shout out loud like today is the last day!,2.55,
"00:02:23,005","00:02:24,005",Under the falling starlight!,1.0,
"00:02:24,005","00:02:26,005",Under the falling starlight!,2.0,
"00:02:26,005","00:02:28,005",Let's dance the night away!,2.0,
"00:02:28,005","00:02:30,005",(Away),2.0,
"00:02:30,005","00:02:32,005",Let's dance the night away!,2.0,
"00:02:32,005","00:02:32,735",,0.73,
"00:02:32,735","00:02:33,735",,1.0,
"00:02:33,735","00:02:35,735","~Yeah~ One, Two,",2.0,
"00:02:35,735","00:02:37,735","three let's go!, Scream  like it can be heard across the ocean!",2.0,
"00:02:37,735","00:02:39,735","three let's go!, Scream  like it can be heard across the ocean!",2.0,
"00:02:39,735","00:02:41,735","three let's go!, Scream  like it can be heard across the ocean! (HEY!)",2.0,
"00:02:41,735","00:02:43,735",Let's dance the night away,2.0,
"00:02:43,735","00:02:45,735","~Yeah, Yeah yeah~",2.0,
"00:02:45,735","00:02:47,735","~Yeah, yeah, yeah~",2.0,
"00:02:47,735","00:02:49,735","~Yeah, yeah, yeah~",2.0,
"00:02:49,735","00:02:51,735",Let's dance the night away (4x),2.0,
