start_time,end_time,lyric,duration,member
"00:00:00,680","00:00:08,220",나나나나나나나 나나나나나나나(X2),7.54,
"00:00:08,380","00:00:12,280",You and me in the moonlight,3.9,
"00:00:13,000","00:00:15,260",별 꽃 축제 열린 밤,2.26,
"00:00:16,880","00:00:20,620",파도 소리를 틀고 춤을 추는 이 순간,3.74,
"00:00:20,880","00:00:23,540",이 느낌 정말 딱야!,2.66,
"00:00:25,000","00:00:27,640",바다야 우리와 같이 놀아,2.64,
"00:00:28,800","00:00:31,600",바람아 너도 이쪽으로 와,2.8,
"00:00:32,880","00:00:34,880",달빛 조명 아래서,2.0,
"00:00:35,040","00:00:36,620",너와 나와 세상과,1.58,
"00:00:37,860","00:00:40,880",다 같이 party all night long yeah it's good,3.02,
"00:00:41,100","00:00:43,320",If you wanna have some fun,2.22,
"00:00:43,540","00:00:45,180",짭짤한 공기처럼,1.64,
"00:00:45,180","00:00:47,180",이 순간의 특별한,2.0,
"00:00:47,500","00:00:49,400",행복을 놓치지마,1.9,
"00:00:49,400","00:00:51,120",One two three Let’s go,1.72,
"00:00:51,420","00:00:53,100",저 우주 위로,1.68,
"00:00:53,480","00:00:56,000",날아갈 듯 춤추러 가 Hey!,2.52,
"00:00:56,240","00:00:57,640",Let’s dance the night away,1.4,
"00:01:00,360","00:01:01,800",Let’s dance the night away,1.44,
"00:01:04,280","00:01:05,280",Yeah,1.0,
"00:01:05,720","00:01:07,540","One two three, Let’s go",1.82,
"00:01:07,540","00:01:11,760",저 바다 건너 들릴 듯 소리 질러,4.22,
"00:01:12,540","00:01:13,860",Let’s dance the night away,1.32,
"00:01:13,880","00:01:17,200",Dance the night away,3.32,
"00:01:17,920","00:01:21,380",Dance the night away,3.46,
"00:01:21,900","00:01:24,840",You and me in this cool night,2.94,
"00:01:25,980","00:01:28,620",미소 짓는 반쪽 달,2.64,
"00:01:29,940","00:01:34,040",그 언젠가 너와 나 저 달 뒷면으로 가,4.1,
"00:01:35,000","00:01:37,860",파티를 열기로 약속 yeah it’s good,2.86,
"00:01:38,100","00:01:40,100",If you wanna have some fun,2.0,
"00:01:40,540","00:01:41,920",은빛 모래알처럼,1.38,
"00:01:42,020","00:01:46,200",이 순간의 특별한 행복을 놓치지 마,4.18,
"00:01:46,420","00:01:48,060",One two three Let’s go,1.64,
"00:01:48,300","00:01:52,640",저 우주 위로 날아갈 듯 춤추러 가 Hey,4.34,
"00:01:53,360","00:01:54,880",Let’s dance the night away,1.52,
"00:01:57,240","00:01:59,260",Let’s dance the night away,2.02,
"00:02:01,280","00:02:04,300",Yeah One two three Let’s go,3.02,
"00:02:04,440","00:02:08,600",저 바다 건너 들릴 듯 소리 질러,4.16,
"00:02:09,199","00:02:10,839",Let’s dance the night away,1.64,
"00:02:10,860","00:02:14,440",오늘이 마지막인 듯 소리 질러 저 멀리,3.58,
"00:02:14,520","00:02:18,480",끝없이 날아오를 듯 힘껏 뛰어 더 높이,3.96,
"00:02:18,820","00:02:22,520",오늘이 마지막인 듯 소리 질러 저 멀리,3.7,
"00:02:22,980","00:02:24,640",쏟아지는 별빛과,1.66,
"00:02:25,640","00:02:27,160",Let’s dance the night away,1.52,
"00:02:29,600","00:02:31,560",Let’s dance the night away,1.96,
"00:02:34,020","00:02:36,880",Yeah One two three Let’s go,2.86,
"00:02:37,020","00:02:41,060",저 바다 건너 들릴 듯 소리 질러,4.04,
"00:02:41,820","00:02:43,820",Let’s dance the night away,2.0,
"00:02:44,140","00:02:49,860",yeah yeah yeah,5.72,
"00:02:49,920","00:02:57,740",Let’s dance the night away,7.82,
"00:02:58,060","00:03:00,600",Let’s dance the night away,2.54,
