start_time,end_time,lyric,duration,member
"00:00:00,420","00:00:08,220",Nanananananana nanananananana,7.8,
"00:00:08,240","00:00:16,000",Anda dan saya dalam cahaya bulan Pada malam perayaan bintang bersinar ini,7.76,
"00:00:16,079","00:00:24,600","Saat kita mulai menari dengan bunyi ombak,Perasaan itu betul-betul betul!",8.521,
"00:00:24,640","00:00:32,640","Hello laut, main dengan kami,Hello angin, datang lagi",8.0,
"00:00:32,680","00:00:36,700","Di bawah cahaya bulan, anda dan saya dan dunia",4.02,
"00:00:36,740","00:00:40,780","Bersama kami parti sepanjang malam, yeah itu baik",4.04,
"00:00:40,820","00:00:43,080",Sekiranya anda ingin bersenang-senang,2.26,
"00:00:43,120","00:00:44,960",Sama seperti udara asin,1.84,
"00:00:44,980","00:00:49,160",Jangan biarkan kebahagiaan istimewa ini setiap saat,4.18,
"00:00:49,240","00:00:53,000","Satu dua tiga kita pergi, di atas alam semesta",3.76,
"00:00:53,080","00:00:57,380","Tarian seperti anda akan terbang,hey let's dance the night away",4.3,
"00:00:59,660","00:01:02,260",Let's dance the night away,2.6,
"00:01:04,080","00:01:05,160",Yeah~,1.08,
"00:01:05,300","00:01:11,900","Satu dua tiga kita pergi,Menjerit seperti itu boleh didengar di seberang lautan",6.6,
"00:01:12,000","00:01:13,480",Let's dance the night away,1.48,
"00:01:13,500","00:01:21,620","Dance the night away,let's dance the night away (x2)",8.12,
"00:01:21,720","00:01:29,520","Anda dan saya dalam malam yang sejuk ini, setengah bulan tersenyum",7.8,
"00:01:29,560","00:01:37,940","Suatu hari nanti anda dan saya akan sampai ke arah bulan dan berjanji untuk berpesta,yeah itu baik",8.38,
"00:01:37,960","00:01:41,980","Jika anda ingin berseronok seperti pasir perak,masa ini istimewa",4.02,
"00:01:42,020","00:01:46,020","Jangan terlepas keseronokan itu,Satu dua tiga kita pergi",4.0,
"00:01:46,140","00:01:52,640","Satu dua tiga kita pergi,menari seperti kita terbang ke puncak dunia hey!",6.5,
"00:01:52,680","00:01:54,480",Let's dance the night away,1.8,
"00:01:56,620","00:01:59,040",Let's dance the night away,2.42,
"00:02:01,200","00:02:09,140","Satu dua tiga kita pergi,Menjerit seperti itu boleh didengar di seberang lautan",7.94,
"00:02:09,199","00:02:10,719",Let's dance the night away,1.52,
"00:02:10,759","00:02:18,680","Berteriak dengan kuat seperti hari ini adalah hari terakhir,Lonjakan tinggi seperti melampaui batas",7.921,
"00:02:18,700","00:02:22,620",Berteriak dengan kuat seperti hari ini adalah hari terakhir,3.92,
"00:02:22,660","00:02:25,300",Di bawah cahaya bintang,2.64,
"00:02:25,360","00:02:27,820",Let's dance the night away,2.46,
"00:02:30,020","00:02:31,780",Let's dance the night away,1.76,
"00:02:33,960","00:02:35,080",Yeah~,1.12,
"00:02:35,100","00:02:41,360","Satu dua tiga kita pergi,Menjerit seperti itu boleh didengar di seberang lautan",6.26,
"00:02:41,400","00:02:43,400",Let's dance the night away,2.0,
"00:02:49,800","00:02:57,720",Let's dance the night away (4x),7.92,
"00:02:57,820","00:03:00,480",Let's dance the night away,2.66,
