start_time,end_time,lyric,duration,member
"00:00:00,000","00:00:01,540",Milagros ft el traductor de Google 7w73,1.54,
"00:00:08,620","00:00:16,380",(Nayeon) Tú y yo a la luz de la luna en esta noche festiva de estrellas brillantes,7.76,
"00:00:16,980","00:00:24,160","(Sana) En el momento en que comenzamos a bailar con el sonido de las olas, la sensación es muy buena!",7.18,
"00:00:25,060","00:00:32,800","(Momo) Hola mar, juega con nosotras, Hola viento, ven a vernos",7.74,
"00:00:33,340","00:00:37,140","(Jeongyeon) Bajo la luz de la luna, tú y yo y el mundo",3.8,
"00:00:38,100","00:00:41,300","Juntos vamos de fiesta toda la noche, sí, es bueno",3.2,
"00:00:41,400","00:00:43,420",(Tzuyu) Si quieres pasar un buen rato,2.02,
"00:00:43,420","00:00:44,980",Justo como el aire salado,1.56,
"00:00:45,400","00:00:49,440",No dejes ir esta felicidad especial de cada momento,4.04,
"00:00:49,440","00:00:53,460","(Mina) Uno dos tres vamos, por encima del universo",4.02,
"00:00:53,460","00:00:57,780","Baila como si fueras a volar, oye Dance The Night Away (bailamos toda la noche)",4.32,
"00:01:00,380","00:01:02,580",(Momo) Bailamos toda la noche,2.2,
"00:01:04,440","00:01:05,360",(Jihyo) Si,0.92,
"00:01:05,360","00:01:12,200","Uno dos tres vamos, grité como si se pudiera oír al otro lado del océano",6.84,
"00:01:12,200","00:01:13,860",Bailemos toda la noche,1.66,
"00:01:13,860","00:01:21,460","Bailemos toda la noche, Oye bailemos toda la noche (x2)",7.6,
"00:01:21,900","00:01:29,400","(Sana) tú y yo en esta noche fría, la media luna está sonriendo",7.5,
"00:01:29,920","00:01:37,900","(Tzuyu) Algún día tú y yo llegaremos al lado opuesto de la luna Y prometemos festejar, sí, está bien",7.98,
"00:01:38,140","00:01:42,180","(Mina) Si quieres divertirte como la arena plateada, este momento es especial",4.04,
"00:01:42,180","00:01:46,120",no te pierdas el placer de hacerlo,3.94,
"00:01:46,460","00:01:52,400","(Nayeon) Uno dos tres, bailamos como si estuviéramos volando a la cima del mundo ¡oye!",5.94,
"00:01:53,080","00:01:54,780",Bailemos toda la noche,1.7,
"00:01:57,280","00:01:58,580",Bailemos toda la noche,1.3,
"00:02:02,540","00:02:09,380","(Jeongyeon) Uno dos tres vamos, grita como si se pudiera oír al otro lado del océano",6.84,
"00:02:09,539","00:02:11,100",Bailemos toda la noche,1.561,
"00:02:11,100","00:02:18,680","(Dahyun) Grita fuerte como si hoy fuera el último día, salta alto volando más allá de los límites",7.58,
"00:02:19,120","00:02:22,860",(Mina) Gritar fuerte como si hoy fuera el último día,3.74,
"00:02:22,960","00:02:25,460",(Momo) Bajo la luz de las estrellas que cae,2.5,
"00:02:25,580","00:02:27,520",Bailemos toda la noche,1.94,
"00:02:29,940","00:02:31,940",(Mina) Bailemos toda la noche,2.0,
"00:02:35,200","00:02:41,900","(Jihyo) Uno dos tres vamos, grita como si se pudiera oír al otro lado del océano",6.7,
"00:02:50,000","00:02:57,720",Bailemos toda la noche,7.72,
"00:02:58,340","00:03:00,320",(Chaeyoung) Bailemos toda la noche,1.98,
"00:03:01,220","00:03:02,180",Traducido por: Gorda Fan,0.96,
