start_time,end_time,lyric,duration,member
"00:00:03,011","00:00:03,884",♪ Fake ♪,0.873,
"00:00:06,450","00:00:07,534",♪ True ♪,1.084,
"00:00:11,100","00:00:13,327",Fake & True ♪,2.227,
"00:00:14,310","00:00:17,776",If you long for what you do not have,3.466,
"00:00:17,776","00:00:21,744","In the end, it will not be tight",3.968,
"00:00:21,744","00:00:25,678","But if you have expectations,",3.934,
"00:00:25,678","00:00:28,400",One day it will certainly happen,2.722,
"00:00:28,400","00:00:29,840",♪ True True True ♪,1.44,
"00:00:29,840","00:00:33,441",Do not pretend to be the perfect person,3.601,
"00:00:33,441","00:00:36,271",Believe in your intuition,2.83,
"00:00:37,357","00:00:44,208",Weak energy is all that is needed,6.851,
"00:00:45,705","00:00:51,086",How long will it be until the limit is determined?,5.381,
"00:00:53,400","00:00:59,127",We can be more independent and brighter,5.727,
"00:00:59,127","00:01:01,482",♪ Hold on Fake & True ♪,2.355,
"00:01:04,206","00:01:07,271",♪ Fake & Fake & True ♪,3.065,
"00:01:07,271","00:01:09,180",Ake Fake & True ♪,1.909,
"00:01:12,059","00:01:15,100",♪ Fake & Fake & True ♪,3.041,
"00:01:15,100","00:01:20,707","Instead of giving up, give yourself a helping hand",5.607,
"00:01:21,600","00:01:23,140",It Get it now ♪,1.54,
"00:01:23,140","00:01:28,097",Do you also know what is best?,4.957,
"00:01:29,260","00:01:30,740",It Get it now ♪,1.48,
"00:01:30,740","00:01:37,886","""Why can't I? I can't be!""",7.146,
"00:01:37,886","00:01:44,620",Open your brain for dreams and desires,6.734,
"00:01:44,620","00:01:46,328",♪ True True True ♪,1.708,
"00:01:46,328","00:01:48,339",When You Want Dreams,2.011,
"00:01:48,339","00:01:50,161",When those dreams come true (Ho),1.822,
"00:01:50,161","00:01:52,070",You too,1.909,
"00:01:52,070","00:01:53,937",It must be amazing,1.867,
"00:01:53,937","00:01:55,730","Never ever say ""I know I can't""",1.793,
"00:01:55,730","00:01:57,759",The happiness that comes when it is finally completed,2.029,
"00:01:57,759","00:01:59,755",LOVE LIFE FUN WORK,1.996,
"00:01:59,755","00:02:01,536",Canvas that will start to paint,1.781,
"00:02:01,536","00:02:07,375","For me, ""Is this OK? Is that OK?""",5.839,
"00:02:09,333","00:02:15,327",Are the words sincere or a lie?,5.994,
"00:02:15,327","00:02:17,621",♪ Hold on Fake & True ♪,2.294,
"00:02:20,558","00:02:23,602",♪ Fake & Fake & True ♪,3.044,
"00:02:23,627","00:02:24,950",Ake Fake & True ♪,1.323,
"00:02:28,389","00:02:31,073",♪ Fake & Fake & True ♪,2.684,
"00:02:31,073","00:02:36,753",Do not hold back,5.68,
"00:02:37,559","00:02:39,303",It Get it now ♪,1.744,
"00:02:39,303","00:02:44,398",The most important thing is courage and imagination imigination,5.095,
"00:02:45,299","00:02:46,965",It Get it now ♪,1.666,
"00:03:02,663","00:03:05,236",♪ Hold on Fake & True ♪,2.573,
"00:03:07,900","00:03:11,023",♪ Fake & Fake & True ♪,3.123,
"00:03:11,048","00:03:12,610",Ake Fake & True ♪,1.562,
"00:03:15,943","00:03:18,940",♪ Fake & Fake & True ♪,2.997,
"00:03:18,940","00:03:24,420","Instead of giving up, give yourself a helping hand",5.48,
"00:03:25,420","00:03:26,807",It Get it now ♪,1.387,
"00:03:26,807","00:03:32,071",Do you also know what is best?,5.264,
"00:03:32,940","00:03:34,940",It Get it now ♪,2.0,
"00:03:39,055","00:00:00,000",English Subtitles by J.HetetMyet,-219.055,
