start_time,end_time,lyric,duration,member
"00:00:14,020","00:00:18,040",지금 하늘 구름 색은 Tropical yeah,4.02,
"00:00:18,040","00:00:21,620",저 태양 빨간빛 네 두 볼 같아,3.58,
"00:00:21,620","00:00:25,080",Oh tell me I’m the only one baby,3.46,
"00:00:25,080","00:00:29,220",I fancy you I fancy you fancy you,4.14,
"00:00:29,220","00:00:32,720",It’s dangerous 따끔해 넌 장미 같아,3.5,
"00:00:32,720","00:00:36,120",괜찮아 조금도 난 겁나지 않아,3.4,
"00:00:36,120","00:00:39,460",더 세게 꼭 잡아 Take my hand,3.34,
"00:00:39,460","00:00:43,660",좀 위험할거야 더 위험할거야 Baby,4.2,
"00:00:43,660","00:00:47,040",달콤한 초콜릿 아이스크림처럼,3.38,
"00:00:47,040","00:00:51,000",녹아버리는 지금 내 기분 So lovely,3.96,
"00:00:51,000","00:00:54,680",깜깜한 우주 속 가장 반짝이는,3.68,
"00:00:54,680","00:00:57,760",저 별 저 별 그 옆에 큰 네 별,3.08,
"00:00:57,760","00:01:02,940",거기 너 I fancy you 아무나 원하지 않아,5.18,
"00:01:02,940","00:01:04,840",Hey I love you,1.9,
"00:01:04,840","00:01:05,519",Love ya,0.679,
"00:01:05,519","00:01:09,980",그래 너 I fancy you 꿈처럼 행복해도 돼,4.461,
"00:01:09,980","00:01:12,300",Cause I need you,2.32,
"00:01:12,540","00:01:12,900",What,0.36,
"00:01:13,040","00:01:20,040",Fancy you 누가 먼저 좋아하면 어때,7.0,
"00:01:20,040","00:01:26,160",Fancy you 지금 너에게로 갈래,6.12,
"00:01:26,160","00:01:27,680","Fancy, (Woo!)",1.52,
"00:01:27,720","00:01:30,640",매일매일 난 정말 아무것도 못하네,2.92,
"00:01:30,640","00:01:34,720",Oh my Mayday 이러다 큰일 낼 것 같은데,4.08,
"00:01:34,720","00:01:38,200",Bang bang 머리가 홀린 듯 Reset이 돼,3.48,
"00:01:38,200","00:01:41,960",어쩌면 좋아 이게 맞는건지 몰라 S.O.S,3.76,
"00:01:41,960","00:01:45,080",Swim swim 너란 바다에 잠수함이 돼,3.12,
"00:01:45,080","00:01:49,040",매일이 Birthday 달콤해 너와 나의 Fantasy,3.96,
"00:01:49,040","00:01:52,340",Dream dream 마치 꿈같아 볼 꼬집어봐,3.3,
"00:01:52,340","00:01:56,140",요즘 나의 상태 메세진 랄랄라 Baby,3.8,
"00:01:56,140","00:01:59,660",달콤한 초콜릿 아이스크림처럼,3.52,
"00:01:59,660","00:02:03,780",녹아버리는 지금 내 기분 So lovely,4.12,
"00:02:03,780","00:02:07,380",깜깜한 우주 속 가장 반짝이는,3.6,
"00:02:07,380","00:02:10,520",저 별 저 별 그 옆에 큰 네 별,3.14,
"00:02:10,520","00:02:15,160",거기 너 I fancy you 아무나 원하지 않아,4.64,
"00:02:15,160","00:02:17,380",Hey I love you,2.22,
"00:02:17,400","00:02:17,900",Love ya,0.5,
"00:02:17,900","00:02:22,580",그래 너 I fancy you 꿈처럼 행복해도 돼,4.68,
"00:02:22,600","00:02:24,900",Cause I need you,2.3,
"00:02:24,900","00:02:25,520",What,0.62,
"00:02:25,520","00:02:32,720",Fancy you 누가 먼저 좋아하면 어때,7.2,
"00:02:32,720","00:02:38,600",Fancy you 지금 너에게로 갈래,5.88,
"00:02:38,760","00:02:40,220","Fancy, (Woo)",1.46,
"00:02:40,320","00:02:43,440",연기처럼 훅 사라질까,3.12,
"00:02:43,440","00:02:47,260",늘 가득히 담아 널 두 눈에 담아,3.82,
"00:02:47,260","00:02:50,400",생각만으로 포근해져,3.14,
"00:02:50,400","00:02:56,080",몰래 뒤에서 안아 널 놓지 않을래,5.68,
"00:02:56,080","00:03:01,160",거기 너 I fancy you 아무나 원하지 않아,5.08,
"00:03:01,200","00:03:02,760",Hey I love you,1.56,
"00:03:02,760","00:03:03,260",Love ya,0.5,
"00:03:03,280","00:03:08,260",그래 너 I fancy you 꿈처럼 행복해도 돼,4.98,
"00:03:08,260","00:03:10,220",Cause I need you,1.96,
"00:03:10,780","00:03:11,280",What,0.5,
"00:03:11,280","00:03:18,240",Fancy you 누가 먼저 좋아하면 어때,6.96,
"00:03:18,240","00:03:23,920",Fancy you 지금 너에게로 갈래,5.68,
"00:03:23,920","00:03:25,760","Fancy, (Woo)",1.84,
