start_time,end_time,lyric,duration,member
"00:00:00,000","00:00:00,500",Minzyeea,0.5,
"00:00:07,400","00:00:09,400",Apakah kau siap? Ya,2.0,
"00:00:17,580","00:00:19,580","Matahari, mengumumkan fajar",2.0,
"00:00:20,300","00:00:21,620",Apakah kalian bisa merasakanku?,1.32,
"00:00:22,120","00:00:24,240",Dunia mulai bergerak,2.12,
"00:00:24,240","00:00:25,940",Waktunya untuk mengucapkan selamat tinggal,1.7,
"00:00:26,460","00:00:30,720","Aku menunggumu kau tahu, untukmu",4.26,
"00:00:30,720","00:00:34,620",Kamu tidak perlu khawatir karena aku mengerti semuanya,3.9,
"00:00:35,120","00:00:38,700","siapkanlah dirimu, matamu, aku akan kirimkan teriakan cintaku secara rahasia",3.58,
"00:00:38,700","00:00:42,000","Kita mulai, kita mulai setelah menghela nafas yang dalam, ya benar",3.3,
"00:00:42,000","00:00:46,480","berteriaklah, meningkatkan keriuhan, mulai lagi dengan riang",4.48,
"00:00:47,000","00:00:50,340",menuju masa depan yang kita gambar hari itu,3.34,
"00:00:50,760","00:00:52,760",apakah kamu bisa mendengar?,2.0,
"00:00:53,540","00:00:57,860","suara yang memanggilmu, kita akan keluar, sekarang",4.32,
"00:00:58,720","00:01:01,720",Teriak Hore Hore dengan suara yang kencang,3.0,
"00:01:01,720","00:01:03,280",Baru dengan cara yang seperti dirimu,1.56,
"00:01:03,780","00:01:07,680","semua akan baik-baik saja jika kamu mengulang, tidak peduli berapa kali",3.9,
"00:01:08,000","00:01:13,940","karena tangan kita yang tergabung akan tak pernah berpisah, ayo berjanji",5.94,
"00:01:13,940","00:01:15,940",Selalu di sisimu,2.0,
"00:01:20,720","00:01:24,880",kamu harus berhenti karena ada pemandangan yang kamu belum lihat,4.16,
"00:01:24,880","00:01:28,280","karena itu sulit, tidak perlu memaksakan dirimu",3.4,
"00:01:28,280","00:01:33,180","Tidak apa-apa untuk menangis, tidak perlu menahannya",4.9,
"00:01:33,180","00:01:36,860","setelah tangisan dan hujan, kamu akan bisa melihat pelangi",3.68,
"00:01:37,380","00:01:39,380","membakar dengan semangat hatimu,",2.0,
"00:01:39,380","00:01:41,080",jika kamu percaya akan terwujudlah harapanmu,1.7,
"00:01:41,080","00:01:44,780","kita mulai kita mulai setelah membuang keraguan anda, ya",3.7,
"00:01:44,780","00:01:49,760","gembar-gembor beresonasi melalui dunia, ulanglah dengan ringan",4.98,
"00:01:49,760","00:01:53,760",menuju panggung yang telah kau cita-citakan,4.0,
"00:01:53,760","00:02:00,420","jika mimpimu belum berakhir, jangan dulu menyerah",6.66,
"00:02:01,600","00:02:06,440","sampaikan ini (padamu) hore hore jangan kalah, bersinarlah, tolong bersinarlah",4.84,
"00:02:06,440","00:02:10,500",bersinarlah lebih terang dari bintang! Karena aku selalu,4.06,
"00:02:10,500","00:02:19,180","disini sebagai sekutu terkuatmu, kau tahu, ayo, selalu tersenyum, selalu disisimu",8.68,
"00:02:20,100","00:02:25,460","tidak peduli kapan, aku tidak akan meniggalkanmu sendrian, kau sinar matahariku",5.36,
"00:02:25,460","00:02:30,040","semoga naik, irama di dadaku",4.58,
"00:02:30,040","00:02:34,360","drum itu, sama seperti kau merasakannya",4.32,
"00:02:41,180","00:02:44,980",jangan lihat ke belakang! oh ya!,3.8,
"00:02:55,500","00:03:00,760",berteriaklah tingkatkan keriuhan mengulanglah dengan riang,5.26,
"00:03:00,760","00:03:04,760",menuju masa depan yang kita gambar hari itu,4.0,
"00:03:04,760","00:03:06,760",apakah kamu bisa mendengar?,2.0,
"00:03:06,760","00:03:11,860","suara yang memanggilmu, kita akan keluar sekarang",5.1,
"00:03:11,860","00:03:17,440","teriak Hore hore dengan kencang, baru dengan cara sepertimu",5.58,
"00:03:17,440","00:03:21,440","semuanya baik-baik saja jika kamu mengulang, tidak peduli berapa kali",4.0,
"00:03:21,440","00:03:27,580","karena tangan kita yang tergabung akan tak pernah berpisah, ayo berjanji",6.14,
"00:03:27,580","00:03:29,580",selalu di sisimu,2.0,
"00:03:32,300","00:03:34,300",Thx :D,2.0,
