start_time,end_time,lyric,duration,member
"00:00:13,700","00:00:18,900",Chaeyoung: There are one of those days,5.2,
"00:00:18,900","00:00:23,600",Chaeyoung: When I feel like I don’t belong anywhere,4.7,
"00:00:23,600","00:00:28,000",Chaeyoung: And my head is hanging down,4.4,
"00:00:28,000","00:00:33,000","Tzuyu: Whenever those days come, you tell me",5.0,
"00:00:33,000","00:00:37,500",Tzuyu: All those words you say,4.5,
"00:00:37,800","00:00:39,500",Momo(my bias); Everything’s alright,1.7,
"00:00:39,500","00:00:42,800",Momo: From Nobody to Somebody,3.3,
"00:00:42,800","00:00:44,900",Momo: I become a very special me,2.1,
"00:00:45,000","00:00:47,900",Sana: You make me feel special,2.9,
"00:00:48,000","00:00:51,800",Sana: No matter how the world brings me down,3.8,
"00:00:51,800","00:00:55,180",Sana: Even when hurtful words stab me,3.38,
"00:00:55,180","00:00:57,840",Sana: I smile again cuz you’re there,2.66,
"00:00:57,840","00:00:59,840",Sana: That’s what you do,2.0,
"00:00:59,920","00:01:03,120",Nayeon: Again I feel special,3.2,
"00:01:03,120","00:01:09,800",Nayeon: One moment I feel like I’m nothing at all,6.68,
"00:01:09,800","00:01:13,260",Nayeon: But then when I hear you calling me,3.46,
"00:01:13,320","00:01:17,700","Nayeon: I feel loved, I feel so special",4.38,
"00:01:17,860","00:01:24,700",Mina(#wemissyoumina)/ Chaeyoung: I just wanted to hide,6.84,
"00:01:24,840","00:01:28,420",Mina/ Chaeyoung: As if everything has lost meaning,3.58,
"00:01:28,580","00:01:32,940",Mina/ Chaeyoung: I just sat there still,4.36,
"00:01:32,940","00:01:40,660",Momo: Then you appeared before me,7.72,
"00:01:40,660","00:01:43,040",Tzuyu: Everything’s alright,2.38,
"00:01:43,040","00:01:46,180",From Nobody to Somebody,3.14,
"00:01:46,260","00:01:48,260",I become a very special me,2.0,
"00:01:48,260","00:01:51,200",God Jihyo: You make me feel special,2.94,
"00:01:51,200","00:01:55,100",No matter how the world brings me down,3.9,
"00:01:55,100","00:01:58,380",Even when hurtful words stab me,3.28,
"00:01:58,400","00:02:00,980",I smile again cuz you’re there,2.58,
"00:02:01,020","00:02:03,380",That’s what you do,2.36,
"00:02:03,380","00:02:06,540",Jeongyeon: Again I feel special,3.16,
"00:02:06,540","00:02:13,340",One moment I feel like I’m nothing at all,6.8,
"00:02:13,420","00:02:16,760",But then when I hear you calling me,3.34,
"00:02:16,760","00:02:20,960","I feel loved, I feel special",4.2,
"00:02:21,100","00:02:27,600",Dahyun(my bias wrecker): You make everything alright,6.5,
"00:02:27,680","00:02:30,560",You are indeed my Shining light,2.88,
"00:02:30,680","00:02:34,380",Even the darkest night turns to day,3.7,
"00:02:34,420","00:02:36,160",Because you make me feel,1.74,
"00:02:36,220","00:02:37,860",Jihyo: You make me feel special,1.64,
"00:02:37,860","00:02:41,540",No matter how the world brings me down,3.68,
"00:02:41,540","00:02:44,880",Even when hurtful words stab me,3.34,
"00:02:44,880","00:02:47,580",I smile again cuz you’re there,2.7,
"00:02:47,660","00:02:49,940",That’s what you do,2.28,
"00:02:49,940","00:02:52,960",Nayeon: Again I feel special,3.02,
"00:02:52,960","00:02:59,880",One moment I feel like I’m nothing at all,6.92,
"00:02:59,880","00:03:03,260",But then when I hear you calling me,3.38,
"00:03:03,260","00:03:07,300","I feel loved, I feel so special",4.04,
"00:03:07,500","00:03:31,658",dancebreak (SUB To IrmuunIrwin),24.158,
"00:03:31,658","00:03:44,000",THANKS FOR WATCHING!!!,12.342,
