start_time,end_time,lyric,vocal1,vocal2,duration,member
"00:00:15,370","00:00:18,953",allami ullyeodae Ring ring a ling,Nayeon,,3.583,
"00:00:18,953","00:00:22,220",seoroye nungiri daheul ttaemada,Nayeon,,3.267,
"00:00:22,220","00:00:25,522",almyeonseo bingbing doneunde,Mina,,3.302,
"00:00:25,522","00:00:28,814",jeomjeom dagagajana I know it’s too late,Mina,,3.292,
"00:00:28,814","00:00:31,814",maeumsogeuroneun da algo itjana,Sana,,3,
"00:00:31,814","00:00:35,133",gyeolgugeneun seoneul neomge dwel georaneun geol,Sana,,3.319,
"00:00:35,133","00:00:36,777",I’m warning myself,Chaeyoung,,1.644,
"00:00:36,777","00:00:38,348",neo geureomyeon an dwae,Chaeyoung,,1.571,
"00:00:38,348","00:00:40,917","maebun, maecho, nae mami nae mameul chuweolhae",Jeongyeon,,2.569,
"00:00:40,917","00:00:42,569",Out of control,Jeongyeon,,1.652,
"00:00:42,569","00:00:45,824",nareul gamshihaneun jeo Spot spot spotlight,Jihyo,,3.255,
"00:00:45,824","00:00:49,079",bichulsurok eodum sogeuro ppallyeo deureo,Jihyo,,3.255,
"00:00:49,079","00:00:52,172",kkeuchi boineunde I know it’s not right,Jihyo,,3.093,
"00:00:52,172","00:00:55,392","I can’t stop me, can’t stop me",Momo,,3.22,
"00:00:55,392","00:00:58,707",nae ape nohyeojin i Red red red line,Nayeon,,3.315,
"00:00:58,707","00:01:01,960",geonneopyeonye neowa nan imi nuneul matchweo,Nayeon,,3.253,
"00:01:01,960","00:01:04,946",neukkigo shipeo jjarithan Highlight,Nayeon,,2.986,
"00:01:04,946","00:01:07,850","I can’t stop me, can’t stop me",Dahyun,,2.904,
"00:01:17,854","00:01:19,667","I can’t stop me, can’t stop me",Tzuyu,,1.813,
"00:01:19,667","00:01:22,982",nungama dallagu Ya ya,Momo,,3.315,
"00:01:22,982","00:01:26,250",ttak han beonman No rules ah ah,Dahyun,,3.268,
"00:01:26,250","00:01:28,000",moreun cheogae jweo Lights off,Momo,,3.831,
"00:01:28,000","00:01:29,100",tonight,Jeongyeon,,,
"00:01:30,081","00:01:34,243",na chameul su eopseul geo gata Losing myself,Jihyo,,4.162,
"00:01:34,243","00:01:35,914",ijeneun Turning back,Tzuyu,,1.671,
"00:01:35,914","00:01:39,135",bulganeunghae nan jeomjeom deo gipeun eodume,Tzuyu,,3.221,
"00:01:39,135","00:01:40,672",neomuna jjarithae,Sana,,1.537,
"00:01:40,672","00:01:42,319",na nuneul gameullae,Sana,,1.647,
"00:01:42,319","00:01:44,904",dashineun doragal su eopseul geonman gatae,Chaeyoung,,2.585,
"00:01:44,904","00:01:46,527",Out of control,Chaeyoung,,1.623,
"00:01:46,527","00:01:49,635",nareul gamshihaneun jeo Spot spot spotlight,Nayeon,,3.108,
"00:01:49,635","00:01:52,991",bichulsurok eodum sogeuro ppallyeo deureo,Nayeon,,3.356,
"00:01:52,991","00:01:56,151",kkeuchi boineunde I know it’s not right,Nayeon,,3.16,
"00:01:56,151","00:01:59,259","I can’t stop me, can’t stop me",Dahyun,,3.108,
"00:01:59,259","00:02:02,573",nae ape nohyeojin i Red red red line ,Jihyo,Nayeon,3.314,
"00:02:02,573","00:02:05,941",geonneopyeonye neowa nan imi nuneul matchweo,Jihyo,,3.368,
"00:02:05,941","00:02:09,007",neukkigo shipeo jjarithan Highlight,Jihyo,Nayeon,3.066,
"00:02:09,007","00:02:11,814","I can’t stop me, can’t stop me",Mina,,2.807,
"00:02:11,814","00:02:13,403",Risky risky wiggy wigi,Chaeyoung,,1.589,
"00:02:13,403","00:02:15,050",This is an emergency,Chaeyoung,,1.647,
"00:02:15,050","00:02:16,594","Help me, help me, somebody stop me",Dahyun,,1.544,
"00:02:16,594","00:02:18,988",Cuz I know I can’t stop me,Dahyun,,2.394,
"00:02:18,988","00:02:20,559",dapeun algo itjana,Momo,,1.571,
"00:02:20,559","00:02:22,161",geunde gago itjana,Momo,,1.602,
"00:02:22,161","00:02:23,059",ireogo shipji ana,Dahyun,,0.898,
"00:02:23,059","00:02:25,068",nae ane naega tto inna bwa,Dahyun,,2.009,
"00:02:25,068","00:02:28,446",naneun weonhaneunde,Mina,,3.378,
"00:02:28,446","00:02:31,364",weonhaneun ge andwae,Sana,,2.918,
"00:02:31,364","00:02:33,699",Guilty nan shireunde,Tzuyu,,2.335,
"00:02:33,699","00:02:37,712","I can’t stop me, can’t stop me, can’t stop me",Nayeon,,4.013,
"00:02:37,712","00:02:40,896",nareul gamshihaneun jeo Spot spot spotlight,Jeongyeon,Nayeon,3.184,
"00:02:40,896","00:02:44,100",bichulsurok eodum sogeuro ppallyeo deureo,Jeongyeon,Nayeon,3.204,
"00:02:44,100","00:02:47,121",kkeuchi boineunde I know it’s not right,Jeongyeon,Nayeon,3.021,
"00:02:47,121","00:02:50,326","I can’t stop me, can’t stop me",Chaeyoung,,3.205,
"00:02:50,326","00:02:53,544",nae ape nohyeojin i Red red red line,Nayeon,Jihyo,3.218,
"00:02:53,544","00:02:57,106",geonneopyeonye neowa nan imi nuneul matchweo,Nayeon,Jihyo,3.562,
"00:02:57,106","00:03:00,094",neukkigo shipeo jjarithan Highlight,Nayeon,Jihyo,2.988,
"00:03:00,094","00:03:03,197","I can’t stop me, can’t stop me",Sana,,3.103,
"00:03:13,013","00:03:16,065","I can’t stop me, can’t stop me",Tzuyu,,3.052,
