start_time,end_time,lyric,vocal,vocal,duration
"00:00:14,410","00:00:16,170",yeoldushiga dwemyeon dacheoyo,Nayeon,,1.76
"00:00:16,170","00:00:17,894",jogeumman seodulleo jullaeyo,Nayeon,,1.724
"00:00:17,894","00:00:21,655","Knock knock knock knock, knock on my door",Chaeyoung,Jeongyeon,3.761
"00:00:21,655","00:00:23,333",bami dwemyeon nae mamsoge,Dahyun,,1.678
"00:00:23,333","00:00:25,500",churipmuni yeollijo,Dahyun,,2.167
"00:00:25,500","00:00:29,160",nugunga piryohae someone else!,Sana,,3.66
"00:00:29,160","00:00:30,750",jakkujakku seoseongine,Jihyo,,1.59
"00:00:30,750","00:00:32,634",mollae mollae humcheobone,Jihyo,,1.884
"00:00:32,634","00:00:36,480","Knock knock knock knock, knock on my door",Chaeyoung,Jeongyeon,3.846
"00:00:36,480","00:00:38,390",bonamana tto Playboy,Momo,,1.91
"00:00:38,390","00:00:39,999",tteobonamana Bad boy,Momo,,1.609
"00:00:39,999","00:00:42,239",hwakshini piryohae,Mina,,3.74
"00:00:42,239","00:00:43,739",knock knock,Sana,,
"00:00:43,739","00:00:46,769",nae mami yeollige dudeuryeojweo,Nayeon,Sana,3.03
"00:00:46,769","00:00:50,579",sege kung kung dashi hanbeon kung kung,Nayeon,Sana,3.81
"00:00:50,579","00:00:52,850","Baby, knock knock knock knock, knock on my door",Mina,Tzuyu,2.271
"00:00:52,850","00:00:54,230",Knock knock knock knock knock,Mina,Tzuyu,1.38
"00:00:54,230","00:00:58,685",swipge yeollijineun aneul geoya,Nayeon,,4.455
"00:00:58,685","00:01:01,646",naeildo moredo dashi wajweo,Jihyo,,2.961
"00:01:01,646","00:01:05,426",junbihago gidarilkke,Jihyo,,3.78
"00:01:05,426","00:01:07,837","Baby, knock knock knock knock, knock on my door",Momo,Sana,2.411
"00:01:07,837","00:01:09,180",Knock knock knock knock knock,Momo,Sana,1.343
"00:01:09,180","00:01:12,213",deureodo gyesok deutgo shipeun geol,Jihyo,,3.033
"00:01:12,213","00:01:14,900",Knock on my door,Jihyo,,2.687
"00:01:14,900","00:01:16,833",piryo eopseo Gold key or get lucky,Chaeyoung,,1.933
"00:01:16,833","00:01:18,793",jinshimimyeon Everything’s gonna be okay,Chaeyoung,,1.96
"00:01:18,793","00:01:22,523",eotteokae beolsseo wanna bwa jamshiman gidaryeo jullaeyo,Dahyun,,3.73
"00:01:22,523","00:01:24,523",honja isseul ttae huk deureowa,Jeongyeon,,2
"00:01:24,523","00:01:26,425",jeongshin eopshi nal heundeureo nwa,Jeongyeon,,1.902
"00:01:26,425","00:01:30,125",jigeumi ttak neol wihan showtime make it yours,Jeongyeon,,3.7
"00:01:30,125","00:01:33,063",daeng daeng ullimyeon maeil chajawajullae,Tzuyu,Sana,2.938
"00:01:33,063","00:01:37,383",Turn round round will only make you fall asleep,Mina,,4.32
"00:01:37,383","00:01:41,083","Knock knock knock knock, knock on my door",Sana,,3.7
"00:01:41,083","00:01:44,843","Come in, come in, come in baby, take my hands",Chaeyoung,,3.76
"00:01:44,843","00:01:47,573",nae mami yeollige dudeuryeojweo,Sana,,2.73
"00:01:47,573","00:01:51,473",sege kung kung dashi hanbeon kung kung,Sana,,3.9
"00:01:51,473","00:01:53,823","Baby, knock knock knock knock, knock on my door",Mina,Tzuyu,2.35
"00:01:53,823","00:01:55,124",Knock knock knock knock knock,Mina,Tzuyu,1.301
"00:01:55,124","00:01:59,514",swipge yeollijineun aneul geoya,Nayeon,,4.39
"00:01:59,514","00:02:02,434",naeildo moredo dashi wajweo,Jihyo,,2.92
"00:02:02,434","00:02:06,494",junbihago gidarilkke,Jihyo,,4.06
"00:02:06,494","00:02:08,714","Baby, knock knock knock knock, knock on my door",Momo,Sana,2.22
"00:02:08,714","00:02:09,864",Knock knock knock knock knock,Momo,Sana,1.15
"00:02:09,864","00:02:13,185",deureodo gyesok deutgo shipeun geol,Jihyo,,3.321
"00:02:13,185","00:02:13,900",Knock on my door,Jihyo,,0.715
"00:02:46,424","00:02:48,294","Hey, hey",Mina,,1.87
"00:02:48,294","00:02:52,260",i shigani jinamyeon,Mina,,3.966
"00:02:52,260","00:02:56,384",gudeoitteon nae mami nae nae mami,Tzuyu,,4.124
"00:02:56,384","00:02:59,194",Ice cream-cheoreom noga beoril tenikka,Dahyun,,2.81
"00:02:59,194","00:03:00,594",Come knock on my door,Jihyo,,1.4
"00:03:00,594","00:03:03,374",nae mami yeollige dudeuryeojweo,Nayeon,Jeongyeon,2.78
"00:03:03,374","00:03:07,154", sege kung kung dashi hanbeon kung kung,Nayeon,Jeongyeon,3.78
"00:03:07,154","00:03:09,514","Baby, knock knock knock knock, knock on my door",Dahyun,Chaeyoung,2.36
"00:03:09,514","00:03:10,894",Knock knock knock knock knock,Dahyun,Chaeyoung,1.38
"00:03:10,894","00:03:15,220",swipge yeollijineun aneul geoya,Nayeon,,4.326
"00:03:15,220","00:03:18,174",naeildo moredo dashi wajweo,Jeongyeon,Jihyo,2.954
"00:03:18,174","00:03:22,254",junbihago gidarilkke,Jeongyeon,Jihyo,4.08
"00:03:22,254","00:03:24,354","Baby, knock knock knock knock, knock on my door",Momo,Tzuyu,2.1
"00:03:24,354","00:03:25,704",Knock knock knock knock knock,Momo,Tzuyu,1.35
"00:03:25,704","00:03:28,894",deureodo gyesok deutgo shipeun geol,Jihyo,,3.19
"00:03:28,894","00:03:30,244",Knock on my door,ALL,,1.35
"00:03:30,244","00:03:33,654",Knock knock knock knock on my door,Mina,,3.41
"00:03:33,654","00:03:37,144","I’m freakin’ freakin’ out, freakin’ out out, knock knock",Chaeyoung,,3.49
"00:03:37,144","00:03:40,934",Knock knock knock knock on my door,Nayeon,,3.79
"00:03:40,934","00:03:44,700",Knock knock knock knock knock on my door,Nayeon,,3.766
