start_time,end_time,lyric,duration,member
"00:00:13,293","00:00:15,108",People just can’t leave me alone,1.815,
"00:00:15,108","00:00:16,687",Not for a single moment,1.579,
"00:00:16,687","00:00:18,327",I’m so pretty,1.64,
"00:00:18,327","00:00:20,116",I make everyone so smitten,1.789,
"00:00:20,116","00:00:21,705",No matter which way I go,1.589,
"00:00:21,705","00:00:23,424",The floors are all red,1.719,
"00:00:23,424","00:00:25,513",Like walking down the red carpet,2.089,
"00:00:25,513","00:00:27,192",Everyone is staring at me oh,1.679,
"00:00:27,192","00:00:30,602",Some people ask “who’s your mama?”,3.41,
"00:00:30,602","00:00:32,231",They take a fresh approach,1.629,
"00:00:32,231","00:00:34,015",But I don’t feel a thing,1.784,
"00:00:34,015","00:00:37,449",But I want to love somebody,3.434,
"00:00:37,449","00:00:39,223",Wanna fall in love Baby,1.774,
"00:00:39,223","00:00:40,767",Listen up my boy,1.544,
"00:00:40,767","00:00:44,086",I’m waiting for someone who can make me feel,3.319,
"00:00:44,086","00:00:45,362",Something like never before,1.276,
"00:00:45,362","00:00:47,730",(That’s who I’m waiting for),2.368,
"00:00:47,730","00:00:51,208",I’ll wait no matter how long it takes,3.478,
"00:00:51,208","00:00:54,053",I just wanna fall in love,2.845,
"00:00:54,053","00:00:57,326",Keep me still,3.273,
"00:00:57,326","00:01:01,455",Make me like Ooh Ahh Ooh Ahh,4.129,
"00:01:01,455","00:01:04,688","Fake, fake, an empty-hearted fake",3.233,
"00:01:04,688","00:01:06,838",Goodbye and good riddance huh,2.15,
"00:01:06,838","00:01:07,763",(Like OOH-AHH),0.925,
"00:01:07,763","00:01:10,842",Make me speechless,3.079,
"00:01:10,842","00:01:14,885",Make me like Ooh Ahh Ooh Ahh,4.043,
"00:01:14,885","00:01:18,170","Bla La La La stop talking, start doing",3.285,
"00:01:18,170","00:01:20,344",Make me feel Huh,2.174,
"00:01:20,344","00:01:22,998",(Like OOH-AHH),2.654,
"00:01:22,998","00:01:25,897",Look at me and see me again,2.899,
"00:01:25,897","00:01:29,726",Pass by once and look back (TWICE),3.829,
"00:01:29,726","00:01:31,785","Wherever I go, I go without makeup",2.059,
"00:01:31,785","00:01:33,180",But I’m the one who shines the most,1.395,
"00:01:33,180","00:01:36,464",Flat shoes can’t hide my high value,3.284,
"00:01:36,464","00:01:40,127",Movie-like scenes run through my head La La La,3.663,
"00:01:40,127","00:01:43,423",Just thinking about it makes me excited yeah,3.296,
"00:01:43,423","00:01:46,661",Now I want to love somebody,3.238,
"00:01:46,661","00:01:48,639",Wanna fall in love Baby,1.978,
"00:01:48,639","00:01:50,044",Listen up my boy,1.405,
"00:01:50,044","00:01:53,534",I’m waiting for someone who can make me feel,3.49,
"00:01:53,534","00:01:54,703",Something like never before,1.169,
"00:01:54,703","00:01:56,857",(That’s who I’m waiting for),2.154,
"00:01:56,857","00:02:00,502",I’ll wait no matter how long it takes,3.645,
"00:02:00,502","00:02:03,282",I just wanna fall in love,2.78,
"00:02:03,282","00:02:06,625",Keep me still,3.343,
"00:02:06,625","00:02:10,779",Make me like Ooh Ahh Ooh Ahh,4.154,
"00:02:10,779","00:02:14,054","Fake, fake, an empty-hearted fake",3.275,
"00:02:14,054","00:02:16,113",Goodbye and good riddance huh,2.059,
"00:02:16,113","00:02:17,313",(Like OOH-AHH),1.2,
"00:02:17,313","00:02:20,192",Make me speechless,2.879,
"00:02:20,192","00:02:24,251",Make me like Ooh Ahh Ooh Ahh,4.059,
"00:02:24,251","00:02:27,560","Bla La La La stop talking, start doing",3.309,
"00:02:27,560","00:02:29,714",Make me feel Huh,2.154,
"00:02:29,714","00:02:32,128",(Like OOH-AHH),2.414,
"00:02:32,128","00:02:38,488",Don’t wanna start with just anybody,6.36,
"00:02:38,488","00:02:45,118",I’m not the kind of girl who gives herself away so easily,6.63,
"00:02:45,118","00:02:46,020",,0.902,
"00:02:46,020","00:02:47,495",Let me see,1.475,
"00:02:47,495","00:02:49,229",How you gon treat me,1.734,
"00:02:49,229","00:02:50,883",I ain’t no easy,1.654,
"00:02:50,883","00:02:52,952",Better think about it TWICE,2.069,
"00:02:52,952","00:02:54,192",Let me see,1.24,
"00:02:54,192","00:02:56,357",How you gon treat me,2.165,
"00:02:56,357","00:02:57,766",I ain’t no easy,1.409,
"00:02:57,766","00:02:58,955",Better think about it TWICE,1.189,
"00:02:58,955","00:03:02,569",Keep me still,3.614,
"00:03:02,569","00:03:06,562",Make me like Ooh Ahh Ooh Ahh,3.993,
"00:03:06,562","00:03:09,982","Fake, fake, an empty-hearted fake",3.42,
"00:03:09,982","00:03:11,851",Goodbye and good riddance huh,1.869,
"00:03:11,851","00:03:12,917",(Like OOH-AHH),1.066,
"00:03:12,917","00:03:15,886",Make me speechless,2.969,
"00:03:15,886","00:03:20,040",Make me like Ooh Ahh Ooh Ahh,4.154,
"00:03:20,040","00:03:23,559","Bla La La La stop talking, start doing",3.519,
"00:03:23,559","00:03:25,639",Make me feel Huh,2.08,
"00:03:25,639","00:03:27,043",(Like OOH-AHH),1.404,
