start_time,end_time,lyric,vocal1,vocal1,duration,member
"00:00:03,300","00:00:04,100",(Hey!),ALL,,0.8,
"00:00:06,420","00:00:07,860",(Twice!),ALL,,1.44,
"00:00:12,960","00:00:17,000",seollenda heart Me likey Me likey likey likey,Sana,,4.04,
"00:00:17,620","00:00:19,620",Me likey likey likey,Sana,,2,
"00:00:19,620","00:00:20,880",dugeun dugeun dugeun,Dahyun,,1.26,
"00:00:22,040","00:00:24,460",Me Likey Me Likey Likey Likey,Jihyo,,2.42,
"00:00:24,620","00:00:25,780",Me Likey Likey Likey,Jihyo,,1.16,
"00:00:25,880","00:00:27,180",dugeun dugeun dugeun,Chaeyoung,,1.3,
"00:00:27,380","00:00:29,520",jakku deureonaego shipji jakkuman,Nayeon,,2.14,
"00:00:30,020","00:00:34,940",sasohan geot hanakkaji jeonbuda,Nayeon,,4.92,
"00:00:35,200","00:00:37,200",jageun hwamyeon soge naega ,Jihyo,,2,
"00:00:37,200","00:00:38,600",jeil yeppeo boigopa,Jihyo,,1.4,
"00:00:39,500","00:00:41,940",ajigeun gamchweo ireon nae maeum kkukkuk,Jihyo,,2.44,
"00:00:42,260","00:00:46,280",meot burindaneun geon jeongmal gwichaneun geo,Jeongyeon,,4.02,
"00:00:46,560","00:00:49,840",geureotago jeolttae daechunghal suga eomneungeol,Jeongyeon,,3.28,
"00:00:50,100","00:00:52,100",maeil gaseum ttwige hae,Tzuyu,,2,
"00:00:52,240","00:00:54,620", igeon niga mollayaman dwae,Tzuyu,,2.38,
"00:00:55,240","00:00:57,240",geureomyeonseo ppeonppeonhage,Nayeon,,2,
"00:00:57,240","00:00:59,460",BBkeurim papapa,Momo,,2.22,
"00:00:59,520","00:01:00,920", ripseutigeul mammamma,Momo,,1.4,
"00:01:01,200","00:01:03,780", kamerae damabolkka yeppeuge,Momo,,2.58,
"00:01:04,200","00:01:05,520",igeo bomyeon useo jweo,Tzuyu,,1.32,
"00:01:06,080","00:01:07,640", geurigo kkok,Tzuyu,,1.56,
"00:01:07,640","00:01:08,820", nulleo jweo,Tzuyu,,1.18,
"00:01:08,820","00:01:12,400", jeo mite angjeungmatgo saeppalgan,Tzuyu,,3.58,
"00:01:12,640","00:01:14,740",geunde joayoran mareun ppeonhae,Mina,,2.1,
"00:01:15,000","00:01:19,100", nae mam pyohyeonhagien bujokande,Mina,,4.1,
"00:01:19,260","00:01:21,260",geunde joayo,Nayeon,,2,
"00:01:21,540","00:01:22,040", jamdo mot jado,Nayeon,,0.5,
"00:01:22,160","00:01:26,100", jigakage dwaedo joeungeol,Nayeon,,3.94,
"00:01:26,340","00:01:29,580",seollenda heart Me likey Me likey likey likey,Sana,,3.24,
"00:01:29,580","00:01:31,400",Me likey likey likey,Sana,,1.82,
"00:01:31,960","00:01:34,640",dugeun dugeun dugeun,Dahyun,,2.68,
"00:01:34,780","00:01:38,620",Me Likey Me Likey Likey Likey,Jihyo,,3.84,
"00:01:38,820","00:01:41,480",dugeun dugeun dugeun,Chaeyoung,,2.66,
"00:01:41,780","00:01:44,140",sumeul hup chama jipeoreul ollige,Jihyo,,2.36,
"00:01:44,280","00:01:45,780",dashi hanbeon heorireul hup,Jeongyeon,,1.5,
"00:01:45,940","00:01:49,080",eurachachacha da ibeotta Baby,Jihyo,,3.14,
"00:01:49,200","00:01:53,340",sesangen yeppeun oshi neomunado manko mana,Jeongyeon,,4.14,
"00:01:53,340","00:01:55,080",(Woah~),Jihyo,,1.74,
"00:01:55,080","00:01:57,340",BBkeurim papapa,Momo,,2.26,
"00:01:57,420","00:01:59,100", ripseutigeul mammamma,Momo,,1.68,
"00:01:59,420","00:02:02,060", kamerae damabolkka yeppeuge,Momo,,2.64,
"00:02:02,280","00:02:04,280",igeo bomyeon useo jweo,Tzuyu,,2,
"00:02:04,280","00:02:05,440", geurigo kkok,Tzuyu,,1.16,
"00:02:05,460","00:02:06,120", nulleo jweo,Tzuyu,,0.66,
"00:02:06,360","00:02:10,280", jeo mite angjeungmatgo saeppalgan,Tzuyu,,3.92,
"00:02:10,820","00:02:13,640",geunde joayoran mareun ppeonhae,Mina,,2.82,
"00:02:13,960","00:02:17,080", nae mam pyohyeonhagien bujokande,Mina,,3.12,
"00:02:17,560","00:02:19,220",geunde joayo,Nayeon,,1.66,
"00:02:19,220","00:02:19,720", jamdo mot jado,Nayeon,,0.5,
"00:02:20,100","00:02:24,960", jigakage dwaedo joeungeol,Nayeon,,4.86,
"00:02:26,000","00:02:27,200",geujeo barabogo itji,Jihyo,,2.24,
"00:02:29,280","00:02:30,860", amu maldo hal su eopji,Jihyo,,1.58,
"00:02:32,880","00:02:33,800",Oh~,Jihyo,,0.92,
"00:02:34,060","00:02:36,780",geunde joayo jamdo mot jado,Nayeon,,2.72,
"00:02:37,840","00:02:39,900", jigakage dwaedo joeungeol,Nayeon,,2.06,
"00:02:41,760","00:02:43,200",Uh oneulttara gibuni kkulkkulhae,Dahyun,,1.44,
"00:02:43,780","00:02:45,080", an geureoncheokae bwado seulpeunyae,Dahyun,,1.3,
"00:02:46,020","00:02:47,000",amu baneung eomneun neo ttaeme ppijeonneunde,Chaeyoung,,0.98,
"00:02:47,240","00:02:48,840", nunchi eopshi chingudeuri naorago bureune,Chaeyoung,,1.1,
"00:02:49,500","00:02:52,860",Oh jamkkanman jamkkanman yeollagi ijeya oneungeol Woo,Dahyun,,3.36,
"00:02:53,140","00:02:54,820",harujongil gibuni watta gatta,Chaeyoung,,1.18,
"00:02:55,380","00:02:56,520", uldagado dashi shinnaseo chumchune,Chaeyoung,,1.14,
"00:03:10,620","00:03:13,300",seollenda heart Me likey Me likey likey likey,Sana,,2.68,
"00:03:14,000","00:03:14,680",Me likey likey likey,Sana,,0.68,
"00:03:15,800","00:03:17,780",dugeun dugeun dugeun,Dahyun,,1.98,
"00:03:18,580","00:03:22,540",Me Likey Me Likey Likey Likey Me Likey Likey Likey,Jihyo,,3.96,
"00:03:23,160","00:03:25,180",dugeun dugeun dugeun,Chaeyoung,,2.02,
