start_time,end_time,lyric,duration,member
"00:00:01,820","00:00:03,740",Em biết em muốn nó,1.92,
"00:00:03,740","00:00:08,020",Em sẽ ngừng nói những lời thẳng thắng,4.28,
"00:00:08,260","00:00:10,640",Bởi vì em xứng đáng với điều tuyệt hơn(Xứng đáng hơn),2.38,
"00:00:10,680","00:00:12,780",Em sẽ không lo lắng,2.1,
"00:00:12,780","00:00:17,160",Nếu anh ghét em trong chốc lát,4.38,
"00:00:17,160","00:00:19,960",Nhưng em biết anh(biết anh),2.8,
"00:00:20,120","00:00:22,320",Anh cứ tránh xa đôi mắt em đi,2.2,
"00:00:22,320","00:00:24,540",Anh hãy cứ dối lòng mình đi,2.22,
"00:00:24,760","00:00:29,220",Anh hãy cứ trốn chạy khỏi em đi (không không),4.46,
"00:00:29,240","00:00:31,320",Khi anh nhắm mắt lại và mở mắt ra,2.08,
"00:00:31,320","00:00:33,380",Khi bất chợt hình bóng em bỗng hiện ra,2.06,
"00:00:33,480","00:00:37,080",Và rồi anh sẽ là của em một lần nữa,3.6,
"00:00:37,200","00:00:41,680",Anh sẽ phải cần em nhiều và nhiều hơn nữa,4.48,
"00:00:41,880","00:00:43,480",Anh sẽ không thể dừng lại more more more and more,1.6,
"00:00:43,480","00:00:46,800",Vậy hãy đến bên em thêm một lần nữa,3.32,
"00:00:46,960","00:00:50,220",Em muốn có tình cảm của anh nhiều và nhiều hơn nữa,3.26,
"00:00:50,220","00:00:51,740",Em ghét phải dừng lại,1.52,
"00:00:51,740","00:00:54,060",more more more and more,2.32,
"00:00:54,060","00:00:55,420",Vậy hãy đến bên em thêm 1 lần nữa,1.36,
"00:00:58,500","00:01:00,360",Anh sẽ không thể dừng lại,1.86,
"00:01:00,520","00:01:02,640",More and more,2.12,
"00:01:02,980","00:01:05,340",Vậy hãy đến bên em thêm một lần nữa,2.36,
"00:01:07,580","00:01:09,360",Em ghét phải dừng lại việc này,1.78,
"00:01:09,640","00:01:11,520",More and more,1.88,
"00:01:12,040","00:01:13,520",Vậy hãy đến bên em thêm một lần nữa,1.48,
"00:01:13,560","00:01:15,340",Anh hiểu ý của em chứ?,1.78,
"00:01:15,660","00:01:20,060",Anh có tin rằng anh sinh ra chỉ dành cho em,4.4,
"00:01:20,200","00:01:22,580","Chỉ dành cho em,Chỉ dành cho em",2.38,
"00:01:22,600","00:01:29,000",Anh không cần phải thốt ra những lời nói khó nghe đâu,6.4,
"00:01:29,260","00:01:31,860","Bởi vì anh biết tính cách em mà,anh biết mà",2.6,
"00:01:31,980","00:01:34,040",Cho dù anh có bịt đôi tai mình lại,2.06,
"00:01:34,080","00:01:36,160",Cho dù anh có đẩy em ra xa,2.08,
"00:01:36,240","00:01:40,980",Cho dù anh có rời xa em(thật xa) không không,4.74,
"00:01:41,040","00:01:43,060",Khi em gọi tên anh thêm lần nữa,2.02,
"00:01:43,140","00:01:45,140",Khi anh nghe thấy được giọng nói của em,2.0,
"00:01:45,260","00:01:48,020",Anh sẽ lại là của em một lần nữa thôi,2.76,
"00:01:48,020","00:01:49,400",Yeah đến bên em thêm một lần nữa,1.38,
"00:01:49,680","00:01:53,400",Anh sẽ phải nói cần em nhiều và nhiều hơn nữa,3.72,
"00:01:53,520","00:01:56,980","Anh sẽ không thể dừng lại More, more, more and more",3.46,
"00:01:56,980","00:01:58,180",Vậy hãy đến bên em thêm một lần nữa,1.2,
"00:01:58,240","00:02:02,580",Em muốn có nó nhiều nhiều và nhiều hơn nữa,4.34,
"00:02:02,580","00:02:03,400",Em ghét phải dừng lại,0.82,
"00:02:03,460","00:02:06,040","More, more, more and more",2.58,
"00:02:06,040","00:02:07,220",Vậy hãy đến bên em thêm một lần nữa,1.18,
"00:02:10,380","00:02:12,380",Anh không thể dừng lại,2.0,
"00:02:12,380","00:02:14,420",More and more,2.04,
"00:02:14,680","00:02:16,880",Vậy hãy đến bên em một lần nữa,2.2,
"00:02:19,140","00:02:20,880",Em ghét phải dừng lại,1.74,
"00:02:21,120","00:02:23,120",More and more,2.0,
"00:02:23,380","00:02:25,360",Vậy hãy đến bên em thêm một lần nữa,1.98,
"00:02:43,800","00:02:46,160",Em xin lỗi vì đã không để anh biết em chính là một kẻ tham lam,2.36,
"00:02:46,160","00:02:48,360",Em muốn gửi trước lời xin lỗi đến anh.Nhưng em cần anh nhiều nhiều và nhiều hơn nữa,2.2,
"00:02:48,440","00:02:50,740",Em sẽ đánh cắp trái tim anh mà không cần anh đồng ý,2.3,
"00:02:50,760","00:02:52,940",Anh sẽ bị em mê hoặc.Anh không thể nói lời từ chối đâu,2.18,
"00:02:52,940","00:02:55,040",Chỉ hôm nay thôi em sẽ làm chú mèo hoang,2.1,
"00:02:55,040","00:02:57,200",Hãy chờ đó em nhất định sẽ bắt được anh,2.16,
"00:02:57,200","00:02:59,560",Đừng rời xa em hãy về bên em Come come,2.36,
"00:02:59,580","00:03:01,580",Yeah thêm một lần nữa,2.0,
"00:03:04,000","00:03:06,000",Anh không thể dừng lại,2.0,
"00:03:06,000","00:03:07,900",More and more,1.9,
"00:03:08,740","00:03:10,720",Vậy hãy đến bên em thêm một lần nữa,1.98,
"00:03:13,280","00:03:14,780",Em ghét phải dừng lại,1.5,
"00:03:14,780","00:03:17,040",More and more,2.26,
"00:03:17,440","00:03:19,040",Vậy hãy đến bên em thêm một lần nữa!,1.6,
"00:03:19,220","00:03:21,040",STAN TWICE,1.82,
