start_time,end_time,lyric,duration,member
"00:00:06,755","00:00:08,405",Vamos!,1.65,
"00:00:11,260","00:00:13,985",Quiero decir que me gustas(Me gustas!),2.725,
"00:00:13,985","00:00:15,360",Deseo poder,1.375,
"00:00:16,000","00:00:19,780","A primera hora de la mañana, puedo verte, me siento bien",3.78,
"00:00:20,000","00:00:23,800","Solo con eso, hoy también puedo trabajar duro",3.8,
"00:00:23,800","00:00:27,300","Esa sonrisa és injusta, casi hace que la malinterprete",3.5,
"00:00:28,060","00:00:29,500","Oh, por favor",1.44,
"00:00:29,700","00:00:32,200","Solo mira en mi corazón hay, mariposas",2.5,
"00:00:32,600","00:00:34,800",Oh oh oh oh oh,2.2,
"00:00:35,000","00:00:39,800","Quiero ser bonita, quiero que me mires",4.8,
"00:00:40,520","00:00:42,500",Oh oh oh oh oh,1.98,
"00:00:43,000","00:00:49,000","La contraseña es un secreto, como tú, eres solo un amigo",6.0,
"00:00:51,000","00:00:57,900","¿Dónde estamos ahora? , un impulso para destruirlo",6.9,
"00:00:59,000","00:01:04,300","No no no, incluso empujarlo hacia abajo, podría no funcionar, me estoy elevando",5.3,
"00:01:04,599","00:01:08,200","Columpio, columpio, columpio (Oh Oh) (X2)",3.601,
"00:01:08,500","00:01:12,000",Esta balanceándose (Mi corazón) Mientras me balanceo (A mi corazón),3.5,
"00:01:12,300","00:01:16,200","Columpio, columpio, columpio (Oh Oh) (X2)",3.9,
"00:01:16,300","00:01:19,900",Acércate (Más cerca) Solo pasas (Oh no),3.6,
"00:01:20,500","00:01:23,900","Incluso si te columpias hasta arriba, si aflojas el agarre te caerás",3.4,
"00:01:24,220","00:01:27,900","Hey tú, agárrate fuerte, bien, ve hacia un final feliz sin que tus sueños pasen",3.68,
"00:01:28,100","00:01:32,500","Celosa, incluso de un gato. Poder ser mimado, eso es bueno",4.4,
"00:01:32,800","00:01:33,900","Oh, por favor",1.1,
"00:01:34,000","00:01:35,800","Quiero ser una gata, quiero convertirme en una",1.8,
"00:01:36,000","00:01:38,400",Oh oh oh oh oh,2.4,
"00:01:38,800","00:01:44,000","Eres amable o no lo eres, pero eres amable con cualquiera",5.2,
"00:01:44,500","00:01:46,900",Oh oh oh oh oh,2.4,
"00:01:47,000","00:01:52,580","Termino teniendo esperanza, solo un poquito, solo eres un amigo",5.58,
"00:01:55,000","00:02:02,300","Aunque sea triste, podré protegerte",7.3,
"00:02:02,800","00:02:08,000","No no no, como amigos que nunca se separan, ¿Eso estaría bien?",5.2,
"00:02:08,000","00:02:12,000","Columpio, columpio, columpio (Oh Oh) (X2)",4.0,
"00:02:12,200","00:02:15,900",Ese corazón(Tú corazón) Me gustaría intentar tocarlo(Con mi mano),3.7,
"00:02:16,000","00:02:19,900","Columpio, columpio, columpio (Oh Oh) (X2)",3.9,
"00:02:20,000","00:02:23,900",Quiero transmitirlo  no puedo transmitirlo (¡Oh no!),3.9,
"00:02:25,000","00:02:32,000","Es aterrador saltar justo dentro, no puedo soportar esa herida",7.0,
"00:02:32,100","00:02:35,600",Pero tal vez todo estará bien,3.5,
"00:02:36,500","00:02:41,500","El mañana definitivamente cambiará a tu lado, sigue sonriendo",5.0,
"00:02:41,800","00:02:44,500","Realmente me gustas, solo somos amigos",2.7,
"00:02:47,000","00:02:53,500","¿Dónde estamos ahora? , un impulso para destruirlo",6.5,
"00:02:54,500","00:02:59,900","No no no, incluso empujarlo hacia abajo, podría no funcionar, me estoy elevando",5.4,
"00:03:00,100","00:03:03,900","Columpio, columpio, columpio (Oh Oh) (X2)",3.8,
"00:03:04,000","00:03:07,900",Esta balanceándose (Mi corazón) Mientras me balanceo (A mi corazón),3.9,
"00:03:08,000","00:03:11,900","Columpio, columpio, columpio (Oh Oh) (X2)",3.9,
"00:03:12,060","00:03:16,000",Acércate (Más cerca) Solo pasas (Oh no),3.94,
"00:03:22,000","00:03:24,000",Gracias por verlo,2.0,
"00:03:28,000","00:03:31,000",Suscríbete,3.0,
"00:03:31,000","00:03:33,000",Dale a me gusta,2.0,
"00:03:33,000","00:03:35,000",Comenta,2.0,
"00:03:35,000","00:03:37,000",Compártelo,2.0,
"00:03:37,000","00:03:39,000",Mira mis otros vídeos,2.0,
