start_time,end_time,lyric,duration,member
"00:00:03,060","00:00:05,000",TWICE - TT (eesti keelde tõlgitud),1.94,
"00:00:05,020","00:00:09,060","''TT'' tähendab nutmise emotikoni, nt T-T",4.04,
"00:00:09,160","00:00:14,380",See laul räägib esimesest armastusest ja teismelise elu muredest,5.22,
"00:00:17,500","00:00:19,060",Olen kahes silmas,1.56,
"00:00:19,660","00:00:21,460",piinlikus olukorras,1.8,
"00:00:21,620","00:00:24,400",Ma lihtsalt vahin ja ütlen ba-ba-ba-baby,2.78,
"00:00:25,100","00:00:27,160",Iga päev ma ainult kujutan ette ilma küsimata,2.06,
"00:00:27,160","00:00:29,360",Räägin sinuga vabalt ja ütlen su nime baby,2.2,
"00:00:29,480","00:00:31,880",Aga me isegi ei tea teineteist,2.4,
"00:00:31,880","00:00:34,660",Ilus ükskõik mida kannan,2.78,
"00:00:34,920","00:00:38,580",Oleme kahekesti peegli ees ja teeme fashion show show,3.66,
"00:00:38,920","00:00:42,800","See kord kindlasti, räägin esimesena",3.88,
"00:00:42,840","00:00:46,200","Aga see on ainult mu peas, alati ainult minu peas",3.36,
"00:00:46,540","00:00:52,700",nananananana ma ümisen ja enne kui arugi saan,6.16,
"00:00:52,760","00:00:58,160","Tahan nutta, ei tea kes ma olen, ma ei ole selline",5.4,
"00:00:58,300","00:01:00,120",Armastan sind nii väga,1.82,
"00:01:00,560","00:01:03,520","Arvan, et nüüd olen täiskasvanu",2.96,
"00:01:04,180","00:01:06,200",Võin teha oma otsuseid aga miks,2.02,
"00:01:06,260","00:01:09,160",ei või see minna nagu tahan?,2.9,
"00:01:09,640","00:01:12,360",Mida rohkem ma püüan sind eemale lükata,2.72,
"00:01:12,360","00:01:15,620","Seda rohkem olen tõmmatud su poole, kallis",3.26,
"00:01:15,620","00:01:19,180","Olen nagu TT, nagu TT",3.56,
"00:01:19,700","00:01:22,940","Sa ei tea mida tunnen, oled nii kuri, nii kuri",3.24,
"00:01:22,940","00:01:26,920","Olen nagu TT, nagu TT",3.98,
"00:01:27,080","00:01:30,740","Ütle, et oleksid mu kallis",3.66,
"00:01:31,740","00:01:33,360","Sa ütled, et olen naeruväärne",1.62,
"00:01:33,360","00:01:35,420",Et ma pole nii ilus,2.06,
"00:01:35,540","00:01:38,240",Ei rõõmusta mind üldse ba-ba-ba-baby,2.7,
"00:01:39,020","00:01:42,740","Ma lähen hulluks selles segaduses, miks olen näljane?",3.72,
"00:01:43,260","00:01:45,980","Ma söön terve päeva, aga olen ikkagi näljane",2.72,
"00:01:45,980","00:01:48,840",Löön löön löön süüta nukukest,2.86,
"00:01:48,980","00:01:52,460","Istun ja olen pikali terve päeva, aeg lendab lendab",3.48,
"00:01:52,460","00:01:54,320",miks on mu nahk nii elutu jälle,1.86,
"00:01:54,320","00:01:56,200",tahan ainult kurta,1.88,
"00:01:56,200","00:02:00,460","ema muudkui tüütab mind, miks miks",4.26,
"00:02:00,660","00:02:06,740","nanananana, ma ümisen ja enne kui arugi saan",6.08,
"00:02:06,800","00:02:09,440",Olen nii ärritatud,2.64,
"00:02:09,560","00:02:12,220",Ma pole tavaliselt selline,2.66,
"00:02:12,400","00:02:14,020",Armastan sind nii väga,1.62,
"00:02:14,520","00:02:17,220","Arvan, et nüüd olen täiskasvanu",2.7,
"00:02:18,240","00:02:20,180",Võin teha oma otsuseid kuid miks,1.94,
"00:02:20,180","00:02:23,060",ei lähe kõik nagu ma tahan?,2.88,
"00:02:23,360","00:02:26,260",Mida rohkem ma püüan sind eemale lükata,2.9,
"00:02:26,260","00:02:29,340","Seda rohkem olen tõmmatud su poole, kallis",3.08,
"00:02:29,340","00:02:32,720","Olen nagu TT, nagu TT",3.38,
"00:02:33,560","00:02:36,540","Sa ei tea mida tunnen, oled nii kuri, nii kuri",2.98,
"00:02:36,540","00:02:40,880","Olen nagu TT, nagu TT",4.34,
"00:02:40,880","00:02:43,640","Ütle, et sa oleksid mu kallis",2.76,
"00:02:44,900","00:02:47,780",Kas sa paned tähele mis minus toimub,2.88,
"00:02:47,880","00:02:51,260",Ära mu vaatest kao,3.38,
"00:02:51,780","00:02:56,020","See kord kindlasti, räägin esimesena",4.24,
"00:02:56,080","00:03:00,700","Aga see on ainult minu peas, alati ainult minu peas",4.62,
"00:03:00,720","00:03:03,700","Arvan, et nüüd olen täiskasvanu",2.98,
"00:03:04,320","00:03:06,100",Võin teha oma otsuseid kuid miks,1.78,
"00:03:06,100","00:03:09,240",ei või see minna nagu tahan?,3.14,
"00:03:09,440","00:03:12,220",Mida rohem püüan sind eemale lükata,2.78,
"00:03:12,220","00:03:15,900","Seda rohkem olen tõmmatud su poole, kallis",3.68,
"00:03:15,980","00:03:18,680","Olen nagu TT, nagu TT",2.7,
"00:03:19,420","00:03:22,920","Sa ei tea mida tunnen, oled nii kuri, nii kuri",3.5,
"00:03:22,920","00:03:27,180","Olen nagu TT, nagu TT",4.26,
"00:03:27,180","00:03:30,500","Ütle, et sa oleksid mu kallis",3.32,
