start_time,end_time,lyric,duration,member
"00:00:08,697","00:00:12,491",The best thing I ever did,3.794,
"00:00:20,341","00:00:26,951","December, as we end the year together, I remember",6.61,
"00:00:26,951","00:00:31,301",Our memories pile up like the snow,4.35,
"00:00:31,301","00:00:36,401",So many words I saved for you linger in my mind,5.1,
"00:00:36,401","00:00:38,223",Makes me nervous,1.822,
"00:00:38,223","00:00:42,913",Used to feel lonely and empty,4.69,
"00:00:42,913","00:00:47,880",But December is no longer lonely,4.967,
"00:00:47,880","00:00:50,493",The best thing I ever did,2.613,
"00:00:50,493","00:00:56,923",Was that I met you,6.43,
"00:00:56,923","00:01:01,393",The best thing I never did,4.47,
"00:01:01,393","00:01:06,123","Was that I never broke up with you,",4.73,
"00:01:06,123","00:01:10,443",All I wanna do All I wanna do,4.32,
"00:01:10,443","00:01:15,233","Just like this, like this, like this, like this,",4.79,
"00:01:15,233","00:01:19,583",All I wanna do All I wanna do,4.35,
"00:01:19,583","00:01:24,811","Just like this, like this, like this, like this,",5.228,
"00:01:26,593","00:01:30,363","Though I don’t notice, it just keeps showing",3.77,
"00:01:30,363","00:01:36,143",My friends are teasing that,5.78,
"00:01:36,143","00:01:38,353","Even when I’m alone, I feel as if",2.21,
"00:01:38,353","00:01:40,653","You are behind me, my ears keep getting red",2.3,
"00:01:40,653","00:01:44,355","I can’t help it, I keep thinking of you",3.702,
"00:01:44,355","00:01:49,325",Used to feel lonely and empty,4.97,
"00:01:49,325","00:01:53,925",But December is no longer lonely,4.6,
"00:01:53,925","00:01:56,935",The best thing I ever did,3.01,
"00:01:56,935","00:02:03,155",Was that I met you,6.22,
"00:02:03,155","00:02:07,755",The best thing I never did,4.6,
"00:02:07,755","00:02:13,415","Was that I never broke up with you,",5.66,
"00:02:13,415","00:02:15,675","As the year goes by, Little by little",2.26,
"00:02:15,675","00:02:17,867",So many things have happened,2.192,
"00:02:17,867","00:02:21,965",But when I think about what they meant,4.098,
"00:02:21,965","00:02:26,815",Why are they the moments I spent with you,4.85,
"00:02:26,815","00:02:31,167",I think I might be in love,4.352,
"00:02:31,167","00:02:33,457",The best thing I ever did,2.29,
"00:02:33,457","00:02:39,727",Was that I met you,6.27,
"00:02:39,727","00:02:44,307",The best thing I never did,4.58,
"00:02:44,307","00:02:49,037","Was that I never broke up with you,",4.73,
"00:02:49,037","00:02:53,317",All I wanna do All I wanna do,4.28,
"00:02:53,317","00:02:58,277","Just like this, like this, like this, like this,",4.96,
"00:02:58,277","00:03:02,507",All I wanna do All I wanna do,4.23,
"00:03:02,507","00:03:07,799","Just like this, like this, like this, like this,",5.292,
"00:03:14,089","00:03:17,303",The best thing I ever did,3.214,
"00:03:23,023","00:03:28,535",The best thing I ever did,5.512,
